报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
三、营业利润,1071129714,2092469069,1757221338,1365859568,784226834.1,1951439863,1734699160,1438056134,854247921.5,1516046237,1358439335,1138950103,678465667.8,1208037217,1036490850,861629808.6,510008279.3,994928331.8,861674472.3,712264176.6,416793180.6,897032944.6,758501661.3,618232013.7,363951557,848313737.9,739890953.4,602088425.7,354819200,908909286.2,828810176.7,671576562.4,459092900,907403654.5,705752828.8,0
加:营业外收入,2795497.83,7071957.06,2644696.57,2191092.21,750989.49,3071421.63,246924.88,153091.49,148750,13707076.58,15286214.36,3626108.63,127823.42,2738040.01,2033655.84,4974915.28,2077025.65,16967856.36,8491001.78,4647827.53,1429121.78,8418675.85,3568992.2,3444068.12,1846985.98,6527468.69,5871393.5,2217578.31,0,8640700.84,4946861.47,3760756.23,0,1702651.77,7980792.94,0
减：营业外支出,2297114.32,17606888.7,12167213.28,11096037.09,10945961.89,12717163.38,8446838.57,1742555.92,278226.17,4540800.49,3179812.53,1843974.69,1815986.68,7142997.11,5242515.39,1153493.19,394517.78,6139000.68,3459157.62,1517232.65,604827.32,2693266.49,1263840.23,880362.71,455412.76,1419300.59,919101.03,497349.62,0,2934458.17,1421258.88,253281.92,0,3682764.8,1344182.64,0
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571177.29,535413.35,368973.1,479111.35,68480.58,0,51528.22,745863.37,0,0,1812.76,98042.69,95625.51,26293.24,0,705824.32,620850.27,0,0,0,207901.84,0
四、利润总额,1071628098,2081934137,1747698821,1356954623,774031861.7,1941794122,1726499246,1436466670,854118445.3,1525212513,1370545737,1140732237,676777504.5,1203632259,1033281991,865451230.7,511690787.2,1005757187,866706316.5,715394771.5,417617475.1,902758353.9,760806813.3,620795719.1,365343130.3,853421906,744843245.8,603808654.4,356287500,914615528.9,832335779.3,675084036.7,460973500,905423541.4,712389439.1,0
减：所得税费用,266221975.6,515026319.2,434223802.8,337451740.2,193684092.6,483674835.5,432269323,363848932.7,212544943.3,374471615.1,341319984.6,284383140.8,167663794.8,308263935.1,257710394.5,216247203.1,126092968,252301024.6,221013872.5,184783851.6,111345519.5,220243582.3,186509873.7,153911347.3,89007903.21,211355682.3,182326960.5,146259664.4,0,234505223.7,233455725.5,186993945.6,0,229048062,179238844.2,0
五、净利润,805406122.4,1566907818,1313475018,1019502883,580347769.1,1458119286,1294229923,1072617737,641573502,1150740898,1029225752,856349095.8,509113709.7,895368324.4,775571596.4,649204027.6,385597819.2,753456162.9,645692444,530610919.9,306271955.6,682514771.7,574296939.6,466884371.8,276335227,642066223.8,562516285.4,457548989.9,272831900,680110305.2,598880053.8,488090091.1,312020100,676375479.4,533150595,0
归属于母公司所有者的净利润,805406122.4,1566907818,1313475018,1019502883,580347769.1,1458097936,1293825236,1072299204,641395206.4,1150710683,1028951331,856287093.6,509056670.9,895876928,775819683.5,649331161.5,385339667.5,754161989.4,646474838.1,530978414.6,306512320.4,685251482,576303419.7,468285847.9,277093155.9,645623332,564719925.7,458165136.7,273123600,681297444.3,599382534,488423930,312121900,676679043.1,533150595,0
少数股东损益,0,0,0,0,0,21349.79,404687.43,318533.15,178295.58,30215.3,274421.73,62002.21,57038.74,-508603.58,-248087.08,-127133.9,258151.66,-705826.49,-782394.12,-367494.68,-240364.86,-2736710.29,-2006480.11,-1401476.13,-757928.83,-3557108.23,-2203640.28,-616146.72,0,-1187139.06,-502480.11,-333838.88,0,-303563.71,0,0
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益(元/股),0.642,1.249,1.047,0.8127,0.4626,1.1623,1.0313,0.8548,0.5113,0.9173,0.8202,0.6826,0.404,0.7141,0.6184,0.5176,0.3072,0.6012,0.5153,0.4233,0.6108,1.3656,1.1485,0.9332,0.5522,1.3566,1.2086,1.0181,0,1.514,1.332,1.0854,0,1.5037,1.1848,0
稀释每股收益(元/股),0.642,1.249,1.047,0.8127,0.4626,1.1623,1.0313,0.8548,0.5113,0.9173,0.8202,0.6826,0.404,0.7141,0.6184,0.5176,0.3072,0.6012,0.5153,0.4233,0.6108,1.3656,1.1485,0.9332,0.5522,1.3566,1.2086,1.0181,0,1.514,1.332,1.0854,0,1.5037,1.1848,0
七、其他综合收益,0,8509975.68,0,0,0,3939736.96,0,0,0,-5175000,-3337500,-3525000,-112500,-8550000,-4987500,-1275000,1387500,32362500,33750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八、综合收益总额,805406122.4,1575417793,1313475018,1019502883,580347769.1,1462059023,1294229923,1072617737,641573502,1145565898,1025888252,852824095.8,509001209.7,886818324.4,770584096.4,647929027.6,386985319.2,785818662.9,679442444,530610919.9,306271955.6,682514771.7,574296939.6,466884371.8,276335227,642066223.8,562516285.4,457548989.9,0,680110305.2,598880053.9,488090091.1,0,676375479.4,533150595,0
归属于母公司所有者的综合收益总额,805406122.4,1575417793,1313475018,1019502883,580347769.1,1462037673,1293825236,1072299204,641395206.4,1145535683,1025613831,852762093.6,508944170.9,887326928,770832183.5,648056161.5,386727167.5,786524489.4,680224838.1,530978414.6,306512320.4,685251482,576303419.7,468285847.9,277093155.9,645623332,0,458165136.7,0,681297444.3,0,488423930,0,676679043.1,533150595,0
归属于少数股东的综合收益总额,0,0,0,0,0,21349.79,404687.43,318533.15,178295.58,30215.3,274421.73,62002.21,57038.74,-508603.58,-248087.08,-127133.9,258151.66,-705826.49,-782394.12,-367494.68,-240364.86,-2736710.29,-2006480.11,-1401476.13,-757928.83,-3557108.23,0,-616146.72,0,-1187139.06,0,-333838.88,0,-303563.71,0,0
