研发费用,39234089.11,131315225.3,92149030.27,59941703.91,29512226.47,126360421.1,59645023.7,38262573.94,21960153.5,84082506.26,63312381.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
资产减值损失,0,0,0,0,0,0,0,0,0,10879427.89,3001320.83,3001320.83,0,5629618.33,1189060.55,1189060.55,368604.9,12198954.31,-627474.69,-627474.69,-496.5,25800010.27,2103730.4,2103730.4,0,6161457.32,3040104.71,3049704.71,0,5007462.71,126600,0,0,2696852.96,0,0,0,12452121.74,-6703861.45,-6703699.55,0,15044946.11,10000,0,0,8545391.55,74132.27,151647.17,0,-165194.47,-1307035.49,-1307035.49,-560158.07,-933744.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7070987.6,-7070987.6,-7070987.6,-1174775.36,772066.24,-2940276.48,-1937275.2,-526834.56,-2456298.72,-2934365.6,-101244.32,1762545.44,-6911424.32,-6903412,-6884916.32,-1808206.56,15521684.64,0,0,0,0,0,0,0,-186980,0,37074.45,294032.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投资收益,0,93504494.16,12957323.51,12957323.51,0,92500753.05,52384120.51,52384120.51,0,100864555.3,50098836.63,50098836.63,0,68210911.07,22396528.84,22396528.84,0,33428752.97,10147483.09,10147483.09,0,34144563.94,11944354.91,11944354.91,0,14487542.04,-5773861.48,-5764261.48,0,4298863.95,-2465402.86,-2465402.86,0,3007200.68,-917593.17,-984891.57,-9791.54,2400112.74,-3804432.96,-3956459.4,9936.35,3377150.17,-3505725.42,-3858370.54,126698.54,3117340.01,-2381433.18,-2412569.77,0,1579121.31,-929569.49,-929569.49,0,3199582.46,556604.28,47918.79,665864.48,5051692.58,2496157.72,1832311.81,100000,-3923017.4,-497364.9,-499893.8,0,-126753.75,344265.81,344265.81,1026367.48,-554425.18,287254.11,52424.27,265460.88,178932.4,1871129.6,1511721.55,-174029.22,12349967.95,12720000,9766309.18,5348519.25,2373601.7,0,0,0,0,0,0,0,0,0
其中:对联营企业和合营企业的投资收益,0,93504494.16,12957323.51,12957323.51,0,92500753.05,52384120.51,52384120.51,0,100864555.1,50098836.63,50098836.63,0,68210911.07,22396528.84,22396528.84,0,33428752.97,10147483.09,10147483.09,0,34144563.94,11944354.91,11944354.91,0,14487542.04,-5764261.48,-5764261.48,0,566442.73,-6197824.08,-6197824.08,0,-396769.54,0,0,0,2110192.46,-4089468.16,-4089468.16,0,2545036.6,0,-4182065.41,0,2508787.02,-2412569.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三、营业利润,13027144814,27826423936,20226748279,15057459891,10740322452,24245799838,17478778658,13062943442,9182693617,18718393264,13151868291,9829739819,6893629348,13374535185,9648357507,6962370693,4939558870,9237211058,6955627821,5292436477,3962851561,8246237395,6214609307,4464342441,2999979648,8032401376,6433522748,5537872274,3662327306,11432432905,10043718813,8227284182,5210918910,13702135271,10695546196,6931104040,4188279611,8496941734,6606727357,4603622777,2845247264,6094745804,4660911367,3089152203,2079492267,4586674232,3150796547,2142761524,1659291426,2431128310,2132324338,1740641379,1351357503,2183418022,1971004665,1694105608,1123543800,1795032848,1555612689,1250105819,829512832.5,1196445877,1158377662,929582855.3,656412367.3,1282732211,1040620502,818164881.7,576543233.9,1094450631,860854371.1,639919787.6,495587497.7,873321360.5,706554943.2,500460937.1,374256362,935495374.3,816080000,659731059.8,421226603.4,1008084414,725534527.4,786968325.9,383735251.2,815485605.8,297691903,509400561,387969146.9,323772354.3,0
加:营业外收入,25326426.75,40661952.32,23202773.54,16222740.45,4479113.05,29890272.65,16752309.74,11590156.82,5253202.35,43803121.66,74925289.9,51777968.1,14935320.23,45130040.42,66835309.93,48125000.4,19087948.35,118914963.1,88263186.11,43962304.34,32517529.26,66157319.23,45697498.87,29909283.52,16235602.84,59944583.86,40517664.25,27438357.48,15209143.73,65895607.94,41110317.9,26300977.05,16077929.14,64928850.34,39528314.97,27168368.62,12849248.38,57448935.5,40815541.13,20326076.61,16632128.41,50741916.62,29781367.59,27472504.73,13848487.3,20724800.29,16213906.05,16213906.05,1152099.14,1447926.21,1223657.6,619534,211131,1887645.74,1694112.77,10548638.2,1135676.02,908060.24,660482.18,657775.69,246324.35,1840586.09,1252289.04,1028211.8,308309.86,915684.86,586003.18,446820.18,205955.1,2029578.75,1674846.32,1524706.6,1338486.51,1072112.83,871631.53,607230.13,428925.72,948009.23,0,617213.41,402953.81,270594.24,137255.32,207553.5,1780,100322.9,45346.39,0,0,0,0
减：营业外支出,45417049.18,188638670.8,124957126.5,72608642.01,43771147.92,169678066.9,141697784.7,119912055.5,115174535.7,155373729.6,36430550.34,26047446.83,5187234.27,27977016.6,20380614.29,14085279.14,5414437.63,18715363.77,17255083.41,13424376.28,4826458.59,24900730.73,10418740.88,8385597.25,5972473.67,76429810.82,21948730.8,17767257.83,9220135.7,251249096.4,240382588.2,234744649.1,205731103.8,28397993.76,20251085.85,4522204.21,2291113.57,54436988.79,30022491.64,3461598.27,1367839.63,75244790.52,11748074.09,7167163.1,6657736.9,1810404.58,1348659.93,1150390.1,6214.34,33420578.86,31475324.5,29553428.69,43256.94,6959120.13,-2397785.54,-2397785.54,4925707.72,10215265.29,6687354.09,7619476.13,0,2377295.59,2025861.95,2024807.86,1698668.03,12486840.28,7032167.07,2328413.73,0,9239539.83,2857699.22,1740299.38,17909.78,5323122.9,4947703.34,796621.27,45895,3351208.92,1350000,2138411.16,986907.32,1258815.75,509057.7,231640.61,7101,1716473,185006,0,0,0,0
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658018.71,1554380.15,1296034.48,6668384.57,4291932.85,3656083.11,2727098.04,2743457.28,294868.75,293758.31,259920.34,28862690.41,9089213.63,9089213.63,2952034.47,2654845.78,210935.24,3707.24,0,1400254.25,0,714503.17,0,7214460.24,0,0,0,1698985.34,0,0,0,634492.07,0,0,0,2625775.18,0,0,0,577470.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
