报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940930,19940630,19931231,19921231,19911231,19901231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
研发费用,4196631.9,16666449.46,13254872.57,9483788.73,2597062.75,22251634.53,12077067.56,9037108.31,3737379.11,12152023.67,8686144.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
资产减值损失,0,0,0,0,0,0,0,0,17552164.35,2210260.88,7321765.23,6403771.35,17205965.82,-16584115.25,-749100.6,-3300799.09,11118746.62,25868082.51,9569473.84,4731426.56,6726084.42,4889341.77,9720420.42,5409393.1,9868318.43,-962390.57,7134826.83,4002342.96,8348858.36,7933342.87,10787954.61,7715796.97,7623298.05,-17872824.13,-6778836.64,11116265.04,8932710.96,4330868.82,20596144.61,17068874.05,4197025.28,27284801.66,12086901.4,230034.77,570329.38,2012515,2246371.02,1902327.87,148279.92,22061309.27,1654997.82,1555436.59,1097023.54,494351.25,1091927.55,1651150.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-750000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投资收益,-477845.81,-48775854.25,-48252480.05,-35928657.76,-15740068.45,-97798371.62,160000,160000,160000,997940.34,380122.77,507133.06,18968.23,895457.16,755995.94,351913.8,0,-879954.14,-1074303.66,-811437.13,160000,375348.2,360971.2,360971.2,360971.2,11501.6,0,0,0,284313.1,280000,280000,0,4313.1,0,0,0,611625.19,227179.57,227179.57,227179.57,161942.4,161942.4,0,0,169130.9,169130.9,0,0,101478.54,101478.54,0,0,132587.86,2587.86,0,0,765993.48,31923.36,-131163.89,-82975.39,411186.54,48694.48,-11590.58,-11136.83,70103.69,0,0,0,305967.7,302594.13,304530,304530,114220,114226,0,0,285059,0,0,179351.78,0,187247,136640,301693.39,200479.36,274697,0,188205.42,0,181734.59,53600,208000,0,0,137310.55,0,0,0,0
其中:对联营企业和合营企业的投资收益,0,-572130.16,0,0,0,0,0,0,0,879155.49,220122.77,0,0,751673.25,0,0,0,-1347289.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三、营业利润,2904468205,4234879445,3320956232,2163545827,1602182733,2843423790,2537602010,1768361891,1290730272,2177018801,1913583533,1411589426,1062576922,1384846693,1251843527,985138796,747818205.5,929659605.1,698264282.4,548681149.8,412540999.2,772076545.2,525727366.2,415729462.9,323716475,508836378.8,563525992.1,494405872.2,450216666.5,1484836221,1681093190,1394424564,994261114.4,2015144421,1824345036,1361563692,814465633.9,1365704220,1180078679,1037854011,727813350,889325951,873654407.8,540280950,397007644.4,670851873,638814507.6,401832552.5,264278191.4,486016805.4,365975510.1,125236222.2,36221707.55,685208468.3,453798566.3,359408698.5,239110650.3,504044026.1,442689782.1,298594375,223207927.4,280332802.6,262022229.6,171800848.1,95841514.84,208427772.6,169034700.7,104932169.2,58627937.26,87044450.21,82448413.03,43475544.46,32767859.93,42798257.65,33493715.8,24742298.83,15391878.76,36234331.79,0,23669761.81,14463378,8353815.69,9010671.94,5893395.58,5154004.89,96483.41,60974162.72,29177568.95,62062483.79,48365856.87,56735603.53,36269100,113543000,92301775.13,65460330.37,146076155,117061519,89683650,76627036,0
加:营业外收入,2298885.24,5516516.35,2289473.21,2466839.58,527577.82,3120489.04,3749174.38,862976.95,239058.65,1159244.89,1338217.82,1208143.6,447020.21,9229640.72,2470483.52,1986810.55,1475219.98,5223797.38,3793681.3,3538794.32,700566.95,3809610.3,3062229.95,2199174.38,811270.9,8651144.21,3811230.6,2982680.46,2038867.84,4463107.5,4192235.5,3447715.65,3269087.96,4946572.77,2495065.08,2118016.76,918848,3943005.23,3348470.79,1586572.48,1099498.16,2777005.5,2047712.4,1637838.45,951682,1109815.02,489266.9,393993.4,142427.5,2578892.04,593767.5,286400,226400,1939578.63,1383355.07,1116582.38,23000,1392224.83,98857.52,85247.13,3780,601989.39,59947.79,59947.79,59947.79,75583.84,55383.84,45025,44050,140620.57,131674.8,76244.67,2461.12,124474.41,16974.41,8496.87,6700.43,69507.74,0,0,151514.07,705.8,39256.94,0,1356160.87,702560.87,956772.51,0,251924.33,0,168469.67,0,0,11834.55,0,73417.93,24454,6921,11404,0
减：营业外支出,49867.3,3779665.21,2153315.57,1040242.91,891012.23,1439757.06,1281123.55,806809.9,1515.08,3758911.81,5141655.9,4643109.58,881337.63,10832397.24,5602675.86,5063200.86,4916932.17,14823143.01,10598808.45,7784822.33,4257466.44,16034927.26,11988721.93,9674703.46,7458101.83,40118746.61,30783879.42,23780481.01,19275229.01,48659693.18,35898620.95,28340054.81,20980908.48,54329746.98,46027512.49,35679238.46,20753571.71,32151215.59,21752315.46,18389073.27,9729929.22,25334783.57,19600421.63,15289874.25,9760264.59,9958924.22,6873562.83,4020826.28,2132108.88,44720337.78,27468652.91,15017940.92,1233799.77,19438793.65,11708719.94,10389015.7,1038001.24,8146285.49,6062374.29,4790738.46,1940698.76,6608580.32,1396838.24,732666.56,178246.58,12791414.92,401787.76,330970.27,277533.01,14178107.15,6766586.39,4507092.73,1355471.52,2639839.3,438809.3,165.75,90,2508.11,0,164.61,125717.24,18097.96,1077.1,203.28,255666.54,518335.05,1276672.74,0,2349459.67,0,1996841.85,0,0,2395759.33,0,4033011.65,2707914,1778654,1570815,0
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41106.91,18363.17,19198.49,0,33344.61,0,0,15965.03,13283398.5,2873221.17,36914,53949.21,1303642.55,266095.27,0,0,6722262.92,5986522.02,5786449.55,0,1446949.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
四、利润总额,2906717223,4236616296,3321092389,2164972424,1601819298,2845104522,2540070061,1768418058,1290967816,2174419134,1909780094,1408154460,1062142605,1383243936,1248711334,982062405.7,744376493.3,920060259.5,691459155.3,544435121.8,408984099.7,759851228.2,516800874.2,408253933.8,317069644.1,477368776.4,536553343.3,473608071.7,432980305.4,1440639636,1649386805,1369532225,976549293.9,1965761247,1780812589,1328002470,794630910.2,1337496010,1161674834,1021051510,719182919,866768172.9,856101698.5,526628914.2,388199061.8,662002763.8,632430211.7,398205719.7,262288510,443875359.6,339100624.7,110504681.2,35214307.78,667709253.3,443473201.4,350136265.2,238095649.1,497289965.4,436726265.3,293888883.6,221271008.7,274326211.7,260685339.2,171128129.3,95723216.05,195711941.5,168688296.8,104646223.9,58394454.25,73006963.63,75813501.44,39044696.4,31414849.53,40282892.76,33071880.91,24750629.95,15398489.19,36301331.42,0,23669597.2,14489174.83,8336423.53,9048851.78,5893192.3,6254499.22,280709.23,60654262.49,29177568.95,59964948.45,48365856.87,54907231.35,36269100,113543000,89917850.35,65460330.37,142116561.2,114378059,87911917,75067625,0
减：所得税费用,721947621,1120754493,845186715.3,548908748.2,366784139.4,791533525.1,728124553.9,502891879.6,347406959,614528955.1,554893510.5,397984549.5,298503551.3,379084720.6,386376537.7,340221658.9,250299033.1,278486582.1,216876621.1,168411937.8,101723287.5,218043448.1,139221491.5,116691816.9,91208452.21,119494133.7,125677483.3,102368796.1,81142155.17,455221671,421728749.1,348671738.4,203140836,578647172.1,478580697.6,365316308.8,201070003.6,412935650.7,306541495.2,249861243.5,140316258.6,264843478.2,208185933.7,135293530.3,84360086.57,204089198.3,163945145.7,105764048.6,64616548.75,129267871.9,88819854.14,38225985.19,14530511.3,252494742.2,151014026,115924376.7,75656219.33,179034989.9,149703952,103316905.3,79280837.8,105895109.3,94542182.23,62074733.32,31612508.75,83894314.06,59282528.21,35277673.03,19478446.98,17729545.37,30140165.96,15945265.5,14097412.16,24591205.24,14594319.78,11635082.92,8020406.66,9899114.73,0,9255505.63,3629895.75,3093739.15,5333335.67,3054060.25,2120784.76,39995.03,8956403.56,4376635.34,8999350.14,7265633.44,8222324.51,5440400,17161000,29672890.62,9804913.25,0,35135208,26460252,34105145,0
