报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
研发费用,76738247.93,260094291,235642711,95524846.05,49311588.28,159965593.9,29599572.17,20785695.77,13045887.54,27565217.63,20921049.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
资产减值损失,0,0,0,0,0,0,0,0,0,1098948.45,3503899.85,3431536.21,3493089.15,22867778.12,17484749.9,6392335.47,7223382.78,47998911,21338318.02,-158042.67,625007.04,11906754.26,3610530.15,2801359.59,497364.62,37755915.44,3358595.92,3879490.16,657336.55,7795505.34,663815.21,4468699.28,2885034.78,6646422.19,5835773.41,5615005.3,3136749.77,5916990.89,2015570.87,2662453.8,2627310.74,-3101703.73,-3284257.43,-3429949.05,-492891.34,2494559.69,1635382.76,919336.98,336231.9,6433.24,775920.48,486165.13,485618.84,0
公允价值变动收益,-94857705.45,1267682599,1246505310,920077539.4,798785096.7,158679505.3,119962789.7,31940049.09,37013947.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投资收益,158357729.6,1206683362,918900724.9,678029292.5,311232850.9,850554207.6,596013965.1,421645570.9,212624239.9,918292794.5,665136341.8,393044690.6,162823805.5,623953065,363252021.7,246245190.7,107575018.8,547210021.5,267042965.3,150481082,78360358.88,577938625,156704655.4,87508922.51,18214285.73,53024440,14805451.79,11805731.64,1150735.95,51397178.92,51050276.94,45388133.57,30004677.8,134678632.3,110370341,58226933.58,22239511.41,11996002.74,889041.1,0,0,0,317.81,0,0,746301.38,745458.12,727123.28,0,181333.54,213287.15,3882009.7,-1224757.75,0
其中:对联营企业和合营企业的投资收益,-137205.41,3940820.47,984902.99,984902.99,-652083.5,-4447288.34,498622.84,498622.84,84000.32,1819591.3,641309.8,-5917.72,6490.94,-1299882.3,-1005934.18,-1851464.55,-404519.09,-3893529.35,-3239457.93,-3332089.67,-3383871.5,-242574.86,-293523.09,-295328.52,-65427.39,-176414.08,557.19,-54691.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-560333.13,446712.85,70444.7,-1242757.75,0
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三、营业利润,5134755950,9895187512,9522294441,7190208617,5413590323,9761882594,9492873661,7427601122,5369652837,10813651817,9387755653,6682806904,4673864458,8836473046,7424522824,5200871219,3654395553,7727284642,6428489457,4548502037,3277794132,7140086742,5974534472,4243818275,2971545607,6009511516,5348597674,3805899809,2669917547,6705585987,6018240705,4414276418,3139599941,8188760900,6408159906,4205349184,2951072982,5524600711,4042367672,2579350993,1722540705,3079869113,2104463774,1435088979,961949527.9,1665688795,1202384148,775986598.4,480333618.1,998346807.3,763374617.5,589718247.7,278177731,0
加:营业外收入,3683129.02,25039870.29,14250051.63,6048548.29,3024845.19,22245954.37,17960060.08,11383837.65,5826916.96,37931006.18,20723569.18,11191029.74,4376827.14,19822054.76,43234269.47,30480521.91,11028453.72,45877768.15,21957881.08,12742512.53,3788185.32,36262587.96,16176501.95,11054103.66,5491560.82,45335683.99,13162928.49,9402656.06,3806266.35,18594495.17,28908165.83,8814223.37,3964196.13,48670786.76,42664193.07,37110717.82,2882569.91,37099378.07,33252003.96,23019368.7,8103332.57,32153297.74,18024532.17,7671080.25,1573519.48,20866451.98,11642359.89,10489054.04,4390138.73,6841545.37,3522313.31,3022118.19,1131315.51,0
减：营业外支出,12031397.04,41325490.38,36551038.92,26428447.53,23546900.48,13324291.7,11287518.75,6428467.91,1811548.11,12397034.29,5766487.81,1984748.5,378543.22,8340532.81,14673441.99,9566691.38,6527421.75,12196845.92,9921344.89,5934926.59,668896.04,11030365.76,8891755.04,6921980.41,4138192.16,24137916.85,8742269.42,7598843.35,2272536.01,38327529.46,22279315.64,11193955.2,177167.82,21969236,5771789.96,3526111.75,1703698.58,30982575.38,19397827.97,16108310.23,13205799.93,35805705.96,15160823.02,11965205.02,552250.65,13247084.39,8369945.6,1911530.58,535915.73,12350476.03,11307425.89,13171941.69,6240061.55,0
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680531.26,6650363.41,4600571.98,6551591.02,6095887.48,5232600.53,612323.6,764862.54,673510.42,539571.28,209723.57,4357554.34,3663346.79,3275129.91,947952.79,6766923.97,3015923.09,400571.63,28043.18,5154999.84,426546.15,396862.46,96067.44,4364756.48,2256949.16,1632864.66,843650.26,2915509.35,1616884.93,505878.4,469693.4,4633028.98,2007723.13,756863.47,4847.92,502432.46,193508.75,3710200.4,348458.83,0
