报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款,0,3243067.88,0,8090155.1,0,6610639.3,0,7229094.12,0,5884888.77,71389455.9,5891177.73,5273242.23,4391181.48,8162480.73,7539694.7,8400883.67,7461451.33,9202397.99,8242090.83,7730501.89,5985456.11,7926101.72,9731313.48,7136778.6,4624690.79,7120317.5,5773088.88,6193230.65,4456785.07,5616394.1,4459364.31,3990681.56,3473596.35,4547310.68,4830648.16,4802314.62,2979244,2824579.06,2128853.68,2953016.54,4717629.97,6674287.07,5526189.57,7313151.53,3926812,6271911.04,5294880.03,12768634.25,20838315.04,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,2109077621,2088960285,503844696.8,499676065.3,498704567.8,535003883.7,534378456.8,494644974.9,526574162,500607447.4,514460216.5,542211902.3,536924076.3,573040606.5,550581846.9,567213105.6,572782323.8,588439416,571948329.5,600268511.7,658088174.8,673520414.1,685854526.5,671003241.8,687456576.7,676275169.2,695961179.4,718773549.9,754125064.7,729354640.7,770905853.5,767472441.9,767710767.2,707712329.5,861096436.5,828908939.7,828330947.2,729938830.7,781227476.7,775906848.8,649564362.3,568405138.1,607074354,527116714.3,515097412.8,508582347.9,526450437.5,561220043.5,509167197.8,454586249.2,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,197138,197138,197138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他流动资产,16762398.93,21517920.39,30040706.18,605919774.9,657625862.8,1453054455,2139882351,3367749025,4854288487,4102695515,5310344465,5843472076,5866994207,5764763731,4353869349,5502216008,3568466732,1159631949,595011633.1,297134203.6,99886888.92,624581704.7,61549660.1,50143154.4,46709076.85,34616662.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动资产合计,8583483511,8573957864,7293195351,6905925216,5768205110,5919493037,6023196819,7816910353,7604361092,7914338063,8121239936,7018795973,6956923746,6899652987,7016448298,6612401286,6125862746,2086925856,1721333555,1430670053,1290250498,1637819186,1769034161,1758833337,1556500297,1909103483,2197149274,1866848990,1601982903,1756260492,1814919426,1975586482,1765842119,1746739869,1850912582,2017877868,1916203782,1773471202,2128739504,2060921208,1887578162,1851309159,1978990878,1526717362,1319677204,1198827893,1358626837,1250679179,1555263152,1417146910,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,2558000,8000,8000,8000,8000,8000,0
投资性房地产,13387032.74,10240744.88,3340720.37,3381518.24,3422316.11,7042915.89,7198340.61,7262183.63,8578212.35,9493736.85,9632860.64,9773350.94,9874213.43,10010387.76,9887851.26,9316998.91,9436568.35,9551067.78,9668102.16,13493418.79,13954663.07,27137045.82,27389459.1,27637872.38,27888285.66,28138698.94,28572132.36,23463737.53,23641235.12,23818732.85,28503447.44,28516404.99,26000180.3,26066168.98,18614212.33,18633489.64,18652766.95,17137639.1,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程(合计),69713544.16,72540011.76,248039064.1,221484967.6,165792006.8,143397324.9,137346642.5,129344365.7,111385680.3,104990006.7,153696655.6,130093732.1,95136806.36,61063369.62,0,50199162.4,0,99114570.91,0,434745474.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,72540011.76,0,221484967.6,0,143397324.9,0,129344365.7,0,104990006.7,153696655.6,130093732.1,95136806.36,61063369.62,59617614.73,50199162.4,82723543.29,99114570.91,67216243.91,434745474.8,363925469.5,205261257.8,292056973.8,926769427.1,1073839373,860103761.6,718388914.2,502859469.6,332517837.5,276395598.4,219942792.4,225875778.8,138694513.9,120528243.7,333858656.7,391562811.4,206589477.3,104005113.1,36620884.44,33060815.32,225413951.9,191484181.4,197871509.1,101209326,80575178.25,67138407.4,117545009.6,487053650.4,187019838.6,348572707.1,0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),2884447105,2929952484,2940375034,2996204610,3054900317,3101608717,3145188597,3157020660,3203393801,3256525681,3262060843,3317567839,3376306557,3426322009,0,3524244176,0,3551202293,0,3628389588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,2929952484,0,2996204610,0,3101608717,0,3157020660,0,3256525681,3262060843,3317567839,3376306557,3426322009,3473235522,3524244176,3537288757,3551202293,3751755186,3628389588,3686962216,3830504426,3642806939,2857800418,2600001491,2685012003,2685008108,2754275127,2801004566,2832973999,2856329975,2898533729,2913484554,2952127431,2756759092,2681801024,2730575089,2772988135,2777993647,2815216202,2635700571,2674941273,2599251570,2649203053,2698919639,2729269538,2711171837,2387045060,2280858345,1376255605,0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7416.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082.5,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,3369996.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无形资产,944238467.8,948720071.1,2351721753,2385265943,2355050436,2366352429,2377767649,519198997.2,521121513.7,523540727.9,537434287.6,540109300.1,542610873.2,545186752.3,548015509.3,550756969.5,553501459.4,556251019.3,680458042.4,682300819.9,685794137,689300874.3,704180377.7,707787313.6,710671624.3,714293934.9,576910755.1,579764102,770903656.1,774536644.3,776919775.8,781119876.8,779961574.4,783585720.6,790113017.5,794228115.1,743450804.2,747323432.7,670032587.2,639312179.1,642368836.9,645594078.1,637029561.1,640158059.2,643320965.4,646593016.7,649748181,658419011.7,684752771.1,281435508.4,0
