报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,6427021065,5971212570,6293975368,7418187476,7034009978,5619749918,3696303468,3179334514,2776885074,1705760865,2290543689,967785957.4,1753027096,1484088626,715513494.4,688690424.4,1031030044,532909026.1,1367934109,1191900720,1252303505,1087319159,1112088302,934228752.9,827389529.2,718460442.8,1163007133,1076502208,1411162160,1381930711,975337005.3,1395212306,2001594807,2609650352,2617651322,1824743757,1880825930,2082032491,1892968677,663079295.7,573038204.4,643231404.4,552495823.2,443451147.1,459116214.1,361051750.7,283657557.4,222962756.6,260469485.8,273657327.2,229531519.5,166370369.3,122605494.1,154708705.8,82712644.86,104366099.7,97682569.8,126323268.8,121994451.7,54240713.8,52562726.6,102168113.8,0,90258866,109302991,121327360,113768754,128648995,95212409,112299187,170294568,160929882,89132021,95520554,109145816,58630051,65330380,132199054,121642345.2,101347908,110566519.8,134055379.3,175124475.2,211053339.9,237085398.1,285166767.9,0,416386280.6,0,0,0,0,0
交易性金融资产,202514356.9,203877915.5,231879146.4,230264936.4,233070455.1,509031097,1182590589,1573596291,2924086886,622892.96,765314.56,1057659.73,42055.28,99800.76,202683.92,101573.76,363586.08,429190.68,377985.93,3175807.27,254947.88,322223.28,0,414875.36,253965,303919.6,91496.4,29260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500000,89461984,97638125,107638125,107638125,30000000,0,0,0,0,0,0,0,80000000,40000000,150000000,130000000,90000000,110000000,60000000,0,0,102197381.9,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,71406346.21,67933735.91,1756894627,1080707072,1611663465,1044994000,1235994366,1347510255,1842004109,1377175880,1380839127,1918304321,1839471802,743077269.8,0,1197383915,0,546673849.5,0,1276509976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,0,0,1711528282,1036114364,1571372682,1004217432,1205217571,1317423562,1801903794,1347427811,1357500867,1898811744,1813496352,720611126.8,858807197.4,1182682095,1457511851,534386586.6,751361298.1,1270576488,1376595987,539442903.3,718636904.8,773020909.8,804730946.8,505893430.7,487514799.7,339936339,361116340.4,154408425.3,229165139.7,210620845.6,236798200,156449495.7,150011306.2,625430346.4,697464258.2,490543018.5,429674875.1,391564070.6,409569703.7,96030755.37,130568154.9,136032142.4,174337095.1,72556609.11,114284198.1,77887523.86,102741596.5,110369921.7,83893381.72,143805713.8,184386057.7,121849788.3,45295084.68,41495501.58,27926184.37,58445532.75,23677064.97,13135183.87,22645382.06,64983129.52,0,71005246,57126852,27680530,27735396,5582780,33689733,45612223,38667411,50889983,54133201,54155609,26262940,27708734,52730202,41253509,5986340,6925000,10718915.55,400000,5458372,0,0,0,0,0,0,0,0,0,0
应收账款,71406346.21,67933735.91,45366345.41,44592707.52,40290782.16,40776567.96,30776795.29,30086692.7,40100314.71,29748068.74,23338259.91,19492576.07,25975449.39,22466143.06,20524908.75,14701820.59,17169637.46,12287262.88,10769881.03,5933487.57,4985055.92,4948074.84,3829390.79,5771113.56,5121999.26,4337953.26,6549434.71,5856940.09,5090857.39,6374469.99,9263950.14,14975603.5,43076066.7,7887007.25,16045783.57,27254959.72,38817660.94,37685831.22,40397641.16,41430743.51,50121530.98,12818732.56,27107137.21,30782865.45,67321170.15,22265545.83,28961334.78,41480250.69,70712399.98,38011629.75,59831967.01,63949922.13,61365509.32,33654098.71,67032683.69,55377756.05,68475804.14,35494491.76,70296557.65,64951665.59,38056135.82,18981632.73,0,108827213,111604404,39426185,119415502,118547581,125370999,114781652,134733598,127178205,116066950,128372603,78051973,64407924,84611284,137069579,105508112.4,131748349,51270094.5,136692735.3,60283659.75,118246667.9,117270681.4,130807297.8,0,131427959.1,0,0,0,0,0
应收款项融资,3329851672,1673510795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
