报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
预付款项,79976981.9,116692392.4,72254209.17,149003334.4,112315906.6,129579151.2,96399847.22,60059608.05,168376567,103738166,180398636.7,119992096.6,224952872.9,188491466.2,88188288.06,19266588.26,26177671.31,46849989.19,16956606.55,19252481.86,32288549.25,37255148.34,29913424.68,36134143.82,53117347.11,61613626.94,81783081.69,77270569.49,39792479.38,82063799.93,123853973.2,124812686.8,68104578.13,101320859.4,77821403.73,89803726.19,91653387.2,133136653.9,102014686.1,91508799.1,81045773.63,222515480,21311263.66,21915538.87,18836351.45,42411718.2,15469894.28,18124686.64,15027934.35,15130394.42,20638740.28,19618186.27,19246540.28,14405556.62,19887688.78,20465567.74,38800129.62,38227518.83,15349727.7,18060120.71,10350627.05,11559928.23,9523030.56,2994433.33,2637384.85,1004982.85,204982.85,2994585.99,1221614.07,537982.85,446851.69,810918.22,446851.69,4962470.49,446851.69,446851.69,563416.74,100500,720171.74,1365009.74,628412.29,628412.29,735814.82,798418.29,628412.29,2286412.29,0,4335455.15,0,12067190.76,0,0,0,2444185.83,12044847,0
其他应收款(合计),168018104.6,140781985.6,29633809.92,29324715.37,37981495.86,34741502.9,59849680.67,45380788.61,48605167.79,35420246.62,27679747.84,30641067.97,38552055.97,41933245.04,0,18467489.86,0,32407323.11,0,19491393.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,0,0,0,0,0,0,1129727.98,1129727.98,1129727.98,1129727.98,365713,1995054.67,3733827.4,3733827.4,2855809.19,3086809.19,5277772.23,5277772.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39220.42,39220.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,0,140781985.6,0,29324715.37,0,34741502.9,0,44251060.63,0,34290518.64,0,28646013.3,34818228.57,38199417.64,18719661.93,15380680.67,30126595.63,27129550.88,19361259.67,19491393.39,22624750.82,17253701.54,23746596.66,14491823.3,25491335.83,10901802.27,15969556,5262681.67,47788307.52,6478633.74,11846929.01,8032109.59,12898438.16,7211519.81,20402444.27,18003508.93,45513833.14,10964167.22,21081080.71,18774319.84,15948374.1,10314000.41,21381791.2,17663339.45,12010550.04,11352507.36,17942283.63,7891247.69,11313598.11,7891247.69,14077043.6,12976317.94,13057444.63,7102796.28,18415421.41,78279594.74,17542562.79,7820289.62,29478106.72,9719815.83,23947502.43,9457410.13,18091395.88,15509203.66,32580754.14,15485160.54,36584388.93,16441867.92,19588186.42,22283686.59,25299223.13,25486989.74,25317538.83,30603682.88,26869248.73,45722851.93,81488703.86,74944432.42,70650777.88,76956028.3,10005852.96,10539876.87,11406985.99,9071066.08,13772018.58,10901075.49,0,29623450.95,0,9761649.93,0,0,0,217101493.5,71635196,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,5866614966,6353550235,5640805186,5719064800,4981085906,5258121139,3991138133,4055789256,3588351658,3156048075,2634183432,2611128477,2338481842,2299397693,1981414472,1986780096,1772716396,1918731720,1862068362,2031533974,1914801810,1917807342,1833758528,1880257145,1821350994,1898168167,1765144790,1790796108,1709605853,1866808821,1504394485,1523694701,1330123533,1422801193,1202729384,1214464914,1126158286,1249734004,1069981237,1013033580,805195032.7,1015851956,796917708.1,842757608.3,735246566,808165703.7,668242034.7,691822714.7,650387682.8,691822714.7,566650486,583803514.5,507948453.9,496526870.9,460842677.8,467280450.9,420976715,409846240.1,357847133.6,375246027.9,324435328.5,368300542.2,315904449.4,346584425.3,315987647.7,315748147.7,294920634,321004477.2,291041745,292405627.2,273568074.5,301571339.2,272416923.4,286119896,278707602.5,304283033.2,291710042.9,329368416.3,324945187.4,359303574.7,374398812.9,369417218.7,368644471.8,362424139.8,356105801.4,339327260.3,0,326825106.9,0,313598388.8,0,211846000,0,285405854.9,179471536,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10900,111900,111900,111900,111900,111900,111900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299916.42,2502959.64,2860250.36,201742.23,844090.18,1688180.32,2532270.46,0,943618.4,1887236.72,2829605.03,34628.53,859804.02,1681000.01,2542196,240776.9,955039.2,1820078.4,2460117.6,0,1891026.51,0,2122338.62,1365107.25,10231244.73,8870726.16,3182709.57,13262952.02,0,18667006.26,0,24410700.54,0,0,0,0,4174265,0
