报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,12895535.57,16308535.57,15274707.68,15222564.35,16603184.54,16588189.54,44960666.65,48811639.52,27249380.65,29406150.7,37194958.45,39021846.85,28719482.41,31418301.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,665646373,653805379.8,667634379.8,699811708.8,599280039.5,614530039.5,650309689.5,667859689.5,483359689.5,478806062,316306062,251800000,251800000,766800000,436800000,111800000,5800000,5800000,0,0,0,0,0,0
持有至到期投资,31781543,31781543,432282091,432282091,432282091,432282091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,21312139.49,19380483.57,15750653.84,15691598.09,14986478.57,15179004.55,11586468.88,11640705.49,11034059.53,11107406.88,10640650.17,10606733.7,10048787.43,10016293.5,9635200.85,9897672.77,10052500.29,8917296.64,8302033.76,0,0,0,0,0,0,0,0,5800000,0,5800000,5800000,5800000,0
投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程(合计),516448595.1,489269188.4,302402139.5,181257855.8,116947961.7,96846677.64,62724982.95,303093801.5,288662166.2,295717075.1,281982306.3,283917198.6,261344648.4,237073232.4,0,58401411.49,0,38010922.23,0,51415443.4,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,489269188.4,0,181246725.4,0,96835547.3,0,303033060.2,0,295655831.4,281982306.3,283855304.9,261280855.2,236769707.8,137304292.6,58332730.87,83353069.52,37911575.27,69092503.04,51300182.11,32157621.99,37311783.11,85929871.09,71655927.35,53073311.73,111519311.4,87327594.08,84874810.13,0,74153511.2,29575758.49,4772958.49,0
工程物资,0,0,0,11130.34,0,11130.34,0,60741.32,0,61243.66,0,61893.66,63793.26,303524.6,67024.62,68680.62,77047.12,99346.96,357523.2,115261.29,321215.11,168998.5,186222.97,231338.48,928931.09,995997.42,585413.89,433037.48,0,925800.5,1310559.62,4844888.01,0
固定资产及清理(合计),997808782.4,1013218222,969861579.5,986919274,988189989.4,1026216069,1009533034,757254733.1,750136469.6,763576508.2,759086907.8,752130483.6,758203186.4,761798686.8,0,793428518.5,0,741423555.1,0,693357869.7,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,1013218222,0,986919274,0,1026216069,0,757254733.1,0,763576508.2,759086907.8,752130483.6,758203186.4,761798686.8,778947011.8,793428518.5,735827282.6,741423555.1,690544101.3,693357869.7,700394804,698445255.8,661223783.5,668281266.1,663882004,592397617.6,602223359.9,588588666.8,0,599214547.6,583792980.9,550653642.1,0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无形资产,171162156.9,171865288.5,124245307.4,126107911.6,127368666.2,129301223.4,106428409.1,103145641.3,105113484.8,106905733.5,108671811.8,109770805.9,109911825.5,111486806.6,113191062.4,118173519.7,121305882.1,126088824.1,132544939.4,136087043.6,142486329.5,148838076,153314900.3,152660713.5,158347588,164034462.5,169454484.9,171777406.2,0,182144299.4,193713169.6,231247588.1,0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期待摊费用,8852024.32,9707719.81,10563415.3,9970534.78,10474799.98,11622235.86,8259419.66,9841719.89,11574646.28,18128018.71,18406738.14,20083649.45,15755202.26,20787368.76,13020883.85,12581469.91,14270797.04,16300532.27,8651130.1,397223.78,426530.69,455837.62,80054.66,89661.2,99267.74,108874.28,0,0,0,0,1123644.5,1992711.14,0
递延所得税资产,239810974.8,203533438.4,185869575.1,150804453.7,193300770.1,211467078,162111234.9,152116023.8,192196836.1,177889735.1,168053311,167372578.5,177836255.4,156489202.3,152856421.7,136422929.5,149863746.3,142950821.4,129287484,112150332.6,121494325.7,115374047.2,102463528.2,88073181.62,89654737.62,88861056.57,86585130.72,80080991.09,0,83464149.44,79093137.27,52372791.35,0
其他非流动资产,2620498,3027898,2620498,4081397.65,6985000,7703900,33053175.69,35078540,33355600,297747000,301406560,470494663,341720963,251378573,287421808.5,281729045.5,184749045.5,76849510,205420716,202569656,1599827,1741327,1671907.84,1737907.84,3162519.84,3898519.84,0,18090304,0,0,0,0,0
非流动资产合计,3667342988,3433943055,3611809164,3515888116,3502273807,3571301624,1538657391,1654153045,1419322643,2366124001,2339248623,2521032339,2403352060,2179728504,2106973746,2060944257,1967359060,1633901151,1723006493,1512283631,1250680654,1254135325,1771670269,1419529996,1080948360,967615839.6,951975983.5,949645215.7,969492400,945702308.1,894409250.4,851684579.2,0
资产总计,11860155460,11851101844,10623051080,9738992648,9581043146,10062294426,8693764992,8372486064,8339887403,8587648943,7740189279,7216617036,7229899420,7223229800,6564672810,6303554252,6111528721,6178634333,5730145757,5339427087,5626623169,5423388591,5236344913,5229252120,4667436016,4500737401,4210910268,4123549061,3294419800,3366261783,2969838454,2289275757,0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,11600000,361743750,350000000,150000030,5501,0,0,20000000,20000000,20000000,20000000,0,0,0,0,100000200,1029,150000000,150000000,0,300011291,300011534,0,0,0,0,0,0,0,0,0,0,0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338818.97,0,0,0,0,0,0,0,0,0,0
应付票据及应付账款,545601035.8,524007385.2,388402299.5,302335888.3,220612869.3,276413607.8,208479522,257101221.7,206593826.1,250675039.1,219905585.8,210720104.9,201832486.6,235361727.3,0,125416898.6,0,123425097.1,0,135436631.9,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据,221650000,134300000,191350000,108250000,66550000,79100000,83500000,128000000,0,105300000,0,110000000,110000000,70000000,59500000,43200000,43500000,39100000,34300000,69300000,76100000,61600000,549600000,708800000,29900000,19600000,0,0,0,13950000,14850000,0,0
应付账款,323951035.8,389707385.2,197052299.5,194085888.3,154062869.3,197313607.8,124979522,129101221.7,0,145375039.1,0,100720104.9,91832486.57,165361727.3,119416106.8,82216898.62,64600894.58,84325097.13,59202669.1,66136631.9,53508754.56,50848150.37,61268102.93,74812520.28,84382174.02,68238092.06,68454348.27,104500428.4,0,89954600.43,90775876.79,122705334.3,0
预收款项,0,0,0,0,0,1304031193,474111495.8,307155170.7,291690654.4,1168285503,597580696.1,237342112.8,244704079,814588907.2,333170895.8,181793528.1,112365774,486294080.2,164026012.4,100835708.3,100924325.9,314670430,135259808.2,102786123.6,188697591.8,329620505.7,157669062.1,141677954.7,0,378701810,303146371.4,270373462.8,0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付职工薪酬,77947003.05,126005436.5,39682235.2,33512856.53,56852951.81,111497435.4,25653686.02,27496133.73,32090358.5,72452381.05,20472341.66,27535447.59,27786790.68,63149981.73,35079156.18,32995014.29,28380317.88,51546167.21,27978162.74,28363111.71,27045599.97,44859388.3,21790404.53,24111145.62,28211793.13,55841458.04,28584702.77,28448063.52,0,61889508.22,62502772.33,52110258.28,0
应交税费,532302520,495340138.9,468317402.2,374406961.4,484279709.3,455324456.2,406273351.4,392334318.1,316766854.4,364846278.4,264223789.7,302416008.4,277200592.1,234477104.1,223220915.9,239231181.9,218231532.9,163623312.7,206428766.8,217680215.5,191006659.3,114402019.7,115657323.1,124878961.1,116984719.9,87694561.53,99262741.25,110264152.6,0,87017955.61,132212084,150290453.8,0
其他应付款(合计),959552764.5,724937412.8,657466691.8,738011837.7,668399792,630451224.9,572767202.1,582994968.4,704638076.3,585367118.9,611708716.7,605688719.6,673157027.6,579147344.9,0,573775343.8,0,562052617.8,0,452231369.3,0,0,0,0,0,0,0,0,0,0,0,0,0
应付利息,0,0,0,0,0,0,0,48333.33,50750,50750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付股利,0,0,0,200030105.6,0,0,0,0,0,0,0,0,1405346.13,1405346.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应付款,0,724937412.8,0,537981732.2,0,630451224.9,0,582946635.1,0,585316368.9,611708716.7,605688719.6,671751681.5,577741998.8,622776080.7,573775343.8,615308295.1,562052617.8,523248572.5,452231369.3,491747452.8,456989938.8,393100753.9,340487449.9,361098016.8,353776290.4,349907457.9,340093801.2,0,408922861.9,492295807.7,303791465.4,0
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28090800,28090800,28090800,28090800,28090800,28090800,28090800,28090800,28090800,28090800,0,28090800,0,0,0
其他流动负债,62666401.22,142503459.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动负债合计,2671718965,3470718044,2538069223,1950036541,1721937954,2777717918,1687285257,1587081813,1571779770,2461626320,1733891130,1383702393,1424680976,1926725065,1393163155,1253212167,1082387843,1536941275,1193274983,962637836.7,1268434883,1371472261,1305106012,1403967000,837365095.6,942861707.8,731969112.4,753075200.4,928153700,1068527536,1095782912,899270974.6,0
非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56181600,84272400,0
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预计非流动负债,3554083.19,3554083.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
递延所得税负债,106385889.9,103489317.9,73614992.43,71030617.43,65739816.78,71308901.76,10712925.49,11049628.65,10562245.3,8918813.41,8835808.52,8266458.82,8410865.89,8448365.89,9125000,10362500,11250000,10787500,11250000,0,0,0,0,367053.89,0,0,0,0,0,0,0,0,0
长期递延收益,5750000,6000000,6250000,6500000,6750000,7000000,7250000,7500000,7750000,8000000,8250000,8500000,8750000,9000000,9250000,9500000,10000000,10000000,10000000,10000000,10000000,10000000,0,0,0,0,0,0,0,0,0,0,0
其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20233920,0
非流动负债合计,115689973.1,113043401.1,79864992.43,77530617.43,72489816.78,78308901.76,17962925.49,18549628.65,18312245.3,16918813.41,17085808.52,16766458.82,17160865.89,17448365.89,18375000,19862500,21250000,20787500,21250000,10000000,10000000,10000000,0,367053.89,0,0,0,0,0,0,56181600,104506320,0
负债合计,2787408938,3583761445,2617934215,2027567158,1794427770,2856026819,1705248183,1605631441,1590092015,2478545133,1750976938,1400468852,1441841842,1944173431,1411538155,1273074667,1103637843,1557728775,1214524983,972637836.7,1278434883,1381472261,1305106012,1404334054,837365095.6,942861707.8,731969112.4,753075200.4,928153700,1068527536,1151964512,1003777295,0
所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,1254500000,501800000,501800000,501800000,501800000,501800000,501800000,501800000,501800000,0,450000000,450000000,450000000,0
