报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程(合计),1831763272,2012129880,6227330593,7066117416,7091702099,7257393088,5850849765,4606922145,3634117722,3000489250,1946848768,1728435603,1648218519,1567263996,0,479098818.1,0,183870575.5,0,128645642.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,2012129880,0,7066117416,0,7257393088,0,4606922145,0,3000489250,1946848768,1728435603,1648218519,1567263996,786001015.2,479098818.1,378487481.9,183870575.5,132094211.1,128645642.5,184388577.2,182954414.8,298577925.1,294756857.2,293084902.3,285439418.8,325193181.8,306420706.3,274760209.9,248331118,343536464.2,244103155,187883157.8,184561514.7,104572329.5,86685267.36,67366913.15,60834002.5,248468972.5,220040337.4,189457690.1,117079045.4,91250698.92,79825228.79,66438751,57823908.13,81903867.7,68767139.03,63303764.18,57291699.83,53200881.86,50757467.38,43535261.8,422707282.2,343843279.5,283660629.4,169629620.9,143475326.7,8779731.89,5123617,2388751.2,4092273,90969364.55,75287065.14,56758595.64,47901883.11,28557190.68,24061434.89,10129007.89,10359399.01,188735159.1,172911917.3,140923952.4,93216932.21,63127855.42,49851485.76,41100806.03,40098527.41,55131176.82,52130828.58,146750844.6,102565719.4,64978367.92,51699316.52,282561542.4,236922686.5,230788261.3,213521398.2,164771900,139207135.2,90923500,72711991.46,57657200,107525674.9,87159547.8,68783959.02,0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90884.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319482.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),7255105544,6887108175,4043685337,2834118122,2198490054,1518865398,985459734.7,957083776.7,992409828.6,1029666915,1032340703,1060617481,1090129119,1129894773,0,1121695319,0,1178861028,0,1114431611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,6885609782,0,2831169969,0,1516871720,0,955894936.1,0,1028995516,1032340703,1046800256,1090129119,1129894773,1084178778,1121695319,1148892642,1178861028,1066651357,1114431611,1072568099,1110527341,979855721.3,1017985772,1052140293,1086492488,1034981550,1051282204,1077087240,1111320671,932006365.4,955746303.6,965516287.2,997840656.1,947554762.2,970460458.3,984293363.1,1012391815,781426669.8,812589415.2,833173356.1,854500069.1,757456810.5,773169217.1,788520633.8,808130590,778927178,789764738.3,776535908.8,790575266.4,764526666,769129354.4,914165299.7,518466097.7,524350665.1,534131047.8,549799605,570196230.1,572996721.4,580911402.8,604432063.3,651874956.3,565767424,574037649.5,587523940.4,603698721.7,613060404,605708330.6,621039196.3,630632742.6,476963348.9,485453907.2,489862193.3,499883894.4,507732560.6,514665438,524587017,534470046.3,525562714.2,522629218.4,429938209.7,443738231.1,454796191.9,462810578.5,271988193.7,216018703.2,195041135.4,176182101.6,176108700,178830397.7,173913900,162471822.3,149914400,89205955.38,122865070.3,86980018.13,0
固定资产清理,0,1498392.76,0,2948153.3,0,1993677.91,0,1188840.55,0,671399.4,0,13817224.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-145906.01,197585.15,3638.81,0,27696.42,0,0,0,-54371,0,265783.42,0,0,0,0,0,0,0,2542126.98,0,-214815.85,0,-111339.16,0,822741.81,187778.28,187778.28,7992.74,-105727.21,-16500,-16500,0,0,77839.37,0,3724.71,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,59065551.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无形资产,2641182029,2657118025,433049159.8,437890503.2,328582924.2,332234032.5,240399335.1,242653507.4,163423477.2,231967372.9,232238599.9,231033617.3,228881868.9,231039145.3,231310406,233127114.8,233923955.4,235834475.6,237351637,239426427.6,241501218.3,243576009,245548909.3,247390985.1,249396763,251461871.3,253526979.6,255592087.9,257657196.3,259722304.6,261787412.9,276839857.3,279159088.8,281186415.1,317822983.2,322451639.9,324873807.8,327295975.7,337385747.6,347196903.6,349796945.7,352396987.8,301798459,304093370,307325936.5,307703478,299297317.6,300795210.6,297004352.2,298863832.2,301170602.9,303047515.5,176194626.7,177446765,178755139.5,178820468.3,180092863.6,181331209,181639138.6,182879462.2,188355370.6,190825284.7,190207403.6,191454745.9,193423108.1,194746447.5,196542999.4,186474450.3,191654367.9,192939750,196935466.3,198769676.5,200185222.4,202307360.2,204405465.2,206494276.9,207776268.5,210752140.2,208376949.6,212819647.9,214959435.2,218858510.7,182853651.1,185423809.6,82481116.64,44990488.69,0,44437041.86,0,48859401.98,0,53244047.54,0,57552585.78,0,0,0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期待摊费用,2095393.96,2305902.21,2516410.46,2726918.71,888999.29,928805.23,0,0,0,0,0,29992.81,0,0,0,0,0,0,0,0,0,0,0,0,0,88401.43,222009.21,355792.92,420897.16,531080.53,650354.39,768644.95,612451.19,695105.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14282.22,0,0,0,0,5611870.88,9163267.71,9077800,10582525.8,10582525.8,0,6918624.24,2837727.06,5074459.63,114767.96,157500.33,200232.9,242965.67,507031.38,881763.96,1256496.54,1659680.12,2059016.7,2178090.92,2306388.2,2653784.21,4006071.86,4439888.31,4925917.18,5540980.72,6123167.58,7284848.28,6563426.87,7326509.8,334363.9,262500.21,307241.2,0,0,0,0,0,0,0,0,0,0,0,0
递延所得税资产,773804224.5,725210660.8,535926448.6,491392575.4,492300443.5,676152614.1,542036103.7,531457474.1,455485422.4,436434961.2,319488120.8,260803830.6,385908209.7,411361142.3,356299600.7,407300595.3,382408097.8,356694148.6,309375080.4,264556613.1,281101866.5,368258228.1,341075163,318583463.4,323120512.9,333042004.3,254451334.6,232348444.6,139129061.9,161258511.8,243104591.6,201949925,208538513.8,304561086.2,247981525.3,229342875.8,215947351.8,228561934.8,171547198.2,121813578.5,116733567.6,129179045.1,97059857.74,85194932.17,72746550.67,102428719.6,68601534.01,69138567.84,65231388.42,71651273.67,79099860.46,49481026.52,25074174.31,50998212.26,64230251.24,49833091.02,42555286.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他非流动资产,10783425.86,10806325.86,36631338.8,40853089.81,63157931.57,237539447.8,36188241.7,19800.7,95735944.09,44979896.41,4314.05,4314.05,4314.05,4314.05,4314.05,4314.05,4314.05,4314.05,1777195.64,1777195.64,1777195.64,1777195.64,10565959.57,10577778.21,10577778.21,10577778.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954643.51,0,4126672.57,0,6560472.07,0,8354932.91,0,814169.21,0,0,0
非流动资产合计,15419147799,15119506540,14082667108,13538753665,12758104933,12606230366,10205103248,8866952478,7842123098,7110461193,5867796009,5583847507,5652992597,5487031801,4622046866,4369166021,4202843198,3990082900,3715294967,3616452338,3656131982,3808283590,3714259357,3805707155,3248240844,3251232376,3054309478,2999165315,2885078736,2902327342,2882599174,2762742244,2698919812,2820857440,2765057528,3674828402,3619274914,3626278817,3506514558,3512242778,3533011060,3437257876,3159910578,3077372123,2988390972,2978433035,2832497037,2731402610,2631475998,2561025496,2538839105,2475379735,2431870084,1986099905,1255129508,1190930976,1053788768,982934666.4,834882345.4,847272163.4,868005000.7,924692704.6,977016503,1033823517,1060448546,1069552800,999822437.9,987029550.2,980456562.6,991910274.5,1027130030,1031049426,1007320780,970560508,945441123.9,946439344.8,938962099.8,951420124.8,959232173.9,957813574.8,984946988,940246156,821760378.6,810142929.3,752052852.3,622711604.5,580043803.1,542920136.2,462698600,441920684.3,-116060900,358227793.4,313547500,271678549.7,216866062,161822391.3,0
资产总计,37107992570,35009203823,31366555751,31758214543,29755363959,28919969078,26686143194,25009088799,23926523365,22604929596,19758590902,20469045841,20147440936,19755761074,17971569042,13788082339,14290574932,13965619659,13272088110,13323160281,12837774761,13181673695,12476090744,13590221079,13642599391,13170818969,12767350995,13988013454,13949879407,13734290010,13429812325,15059280259,15052827116,15572976438,13166305757,12533130944,13235531273,12477231527,9454434965,9709410541,8998464202,8026265190,6962665897,6895421179,6532028127,5982690120,5460607096,5124054450,5403769516,5093062016,4566120519,4102632553,4360211424,4491860821,4386427774,3504747932,3526249131,3414355221,2715620575,2670421742,2591591207,2650226273,2444857194,2495222266,2532415595,2506253552,2430075620,2395845733,2581203653,2646841504,2574073584,2534049703,2607934835,2466806230,2226943670,2164183093,2202968851,2153779463,2083106586,2027448135,1829221072,1823514921,1858134482,1781117677,1663133473,1352865779,1124623937,1064188528,956843100,857606344.9,763643200,686802071,623067100,504176673,384756827.9,267996711.1,0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000000,0,0,0,0,0,100000000,20000000,130000000,254000000,229000000,270000000,290000000,205000000,225000000,292800000,332800000,382800000,413800000,418800000,521200000,548200000,415200000,377200000,449200000,448220000,351220000,329300000,303700000,302150000,208250000,136650000,353400000,180500000,148000000,128800000,73000000,144600000,0,82000000,0,28470000,0,52900000,0,69103000,56903000,27293000,0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据及应付账款,2571729957,2725574317,1899602977,2037145211,1716815910,1868623958,1345875414,1262061069,1430280818,1292050954,568399916,778445809.3,783438842.1,740700050.8,0,550722748.9,0,508779547.6,0,442925566.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据,52050117.6,121285117.6,76060905.98,6825905.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27160000,111810000,158430000,126410000,130060000,163480000,231830000,253650000,252410000,327320000,381220000,432060000,469192000.8,524382000.8,558040000,365979887.2,96089887.24,0,0,0,0,0,0,40000000,139900000,139900000,155550000,155550000,0,0,26950000,397100000,455248555.4,3148555.4,17032559.16,81094003.76,83350000,91690000,92510558,66929515.71,68623202.55,74123908.6,102143292.6,79103062.02,24839734.72,32643761.38,95173475.29,80400000,117233188,138088913.5,139494025.6,102628843.7,82565593.4,90692161.35,74867006.62,81393728.84,64395697.51,30658781.34,22205996.85,26148069.83,16572287.2,39761134.57,0,0,0,0,0,0,0,0,0,0,0,0,0
应付账款,2519679840,2604289200,1823542071,2030319305,1716815910,1868623958,1345875414,1262061069,0,1292050954,0,778445809.3,783438842.1,740700050.8,567263252.6,550722748.9,516400893.5,508779547.6,432407865,442925566.1,345530972.3,321256679.1,292146780.6,419508204.5,277970721.5,236850161.3,358041199.1,286493279.9,393960786.3,586734365.6,425556209.8,362431429,539199855.5,625586652.9,607193399.5,406268403.2,567945887.7,588792103.8,394076085,277973614.5,457937510.2,294407782.9,209206696.8,168516299.9,170554431.8,220970591.8,192866611.4,207305538,159869209.4,131666100.9,201742561.4,146043760.4,114229444.8,170509515.8,73271569.71,156200062.3,86961211.07,74785981.45,59355955.46,107377924.4,71445604.42,138371176.9,72007080.1,34024991.62,48666826.56,59075313.74,103953508.4,61139952.03,60336142.53,132780077.7,71947068.81,76834098.32,89686711.61,75925842.28,67853429.18,46298970.33,51207586,69861771.75,52564148.81,65050936.99,39850963.1,70873635.86,63609070.61,95362050.31,0,72125965.73,0,19634564.91,0,9876185.31,0,531545.39,0,3916754.02,4245297.56,2752460.78,0
预收款项,0,0,0,0,0,2244442644,1592136701,1392200718,1285689267,1604425190,1411919450,1094209663,1387909190,1957404020,1434788533,814244800.7,833821620.5,1089128045,1270724420,662460155.5,897863161.7,1598383502,1218288673,1085351017,2177369095,2311650251,1425359335,1323709184,1549769445,1563052015,1705268676,2067154967,2132573342,2962566130,2378439168,2381422231,2163653126,2551380452,1473629588,1456609639,1040372187,1056783768,1087247949,692292320,736593903.5,658563299.9,565592083.2,423212955,243748567.8,708707354.1,321671640.8,333608253.8,366404757.1,472307438.6,462664831.3,574961425.3,657272494.5,494639601.6,381716670.8,231366229.5,213792267.2,362805157.3,148668562.1,121610926.3,86898168.02,163228177.7,45341834.24,33753374.83,35566595.15,114096011.7,35269489.65,17112882.72,14341916.24,31948142.81,19799071.53,24284343.5,14211945.62,23603608.47,12719879.08,14808348.58,8365933.29,13105239.48,7815658.26,13077300.07,0,6430836.58,0,27159515.34,0,87105038.1,0,50656146,0,8584153.75,5638155.13,21461251.75,0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付职工薪酬,442839233.7,505022627.2,404839493.8,363794712.7,283647147.8,342025687.5,310682474.4,245079306.6,214746597.9,268092193.5,201280560.9,160877546.4,177676360.1,137700533.2,190381500.1,148134201.8,104056064.7,135312688.5,84372354.12,68309430.16,52729638.01,85672233.93,66495455.29,60232342.05,51582326.76,85377552.68,90749074.39,74318114.22,55828837.05,71868889.98,56663647.02,49490987.15,56141520.03,69138445.08,80466127.58,56673253.44,68137304.44,77117169.97,55931354.74,44540776.75,42160776.7,46805230.42,54123118.93,102342818.6,101252666.7,107748810.7,122765155.7,80989932.04,71804799.33,72254126.31,65462464.75,55138581.27,54235211.35,58149979.26,53909565.72,45725358.21,53187886.46,34250509.32,36779428.76,32269132.09,28708950.37,36029791.36,34988700.36,31524568.69,21747183.56,20706365.13,20618257.1,16773942.63,15145192.75,18692281.67,21469884.56,12983390.26,12450800.73,16304704.16,24823356.57,21134316.29,23076547.45,22711601.39,19085192.69,26149823.85,13917074.83,13518830.89,11452100.79,23900134.12,0,8531634.77,0,5136977.02,0,4431774.41,0,1263279.62,0,482511.71,0,39607.41,0
应交税费,2129142076,2046027211,1037211723,1188292358,1087731238,1633044232,1520749389,1423767692,1583658109,1648028076,536189567.2,373439954.7,647586629.7,988228028.5,415087229.4,406680469.9,244593167.2,308976780.3,286881097.7,197599440.5,76945631.12,286300625.2,135076057.9,206943489.3,114258427.8,109103058.7,82873324.77,68012304.53,76448270.41,86198017.85,434249103.4,82967706.28,528738368.7,1257576886,649265631.1,367345479.9,781268317.9,1224239026,673557301.1,438825459.7,542672024.7,751809618.1,462044329,329219028.1,379037783.3,479733879.8,400480287.8,464537223,452642881.5,376133005,479970282.5,437009572.4,444044595.9,240723168.5,254210724.5,75085800,60489187.55,73635948.82,39886139.26,71412883.81,57412565.37,40563423.23,110120736.8,106017874.6,90691261.66,16596541.72,33712128.3,55370345.85,42478718.34,-15000605.33,16691472.91,15612252.28,61137538.11,-1346476.5,49704454.76,35883637.36,97644771.91,58338251.33,67220686.78,38380124.26,105093028.4,59859299.18,48712360.8,48554354.85,0,93503985.58,0,105762680.9,0,38407903.59,0,14109543.32,0,22864819.43,22820911.1,9972124,0
其他应付款(合计),501976469.3,501623924.5,549992806.6,2988320565,652918428.9,698942399.4,624849996,2909250406,565091700.8,602887024.9,573808845.6,2371156209,514276830.7,543192435.6,0,501418379.2,0,733463643.7,0,1521466052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付利息,0,0,36427397.26,90135616.44,54732876.71,30650684.93,7458333.33,0,0,0,0,0,0,0,0,16765239.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付股利,0,0,0,2328956437,0,0,0,2270366338,0,0,0,1830940595,4500000,4500000,4500000,0,22400652.46,22400652.46,0,1121801981,36202505.07,36202505.07,7975339.94,1165507225,49794576.31,52358380.17,10764587.07,1763580182,9102699.5,9102699.5,65306307.51,2561551309,5276430.06,5276430.06,95267226.48,949910290.4,31717537.65,31717537.65,104282140.5,1464054525,38997810.63,73995994.42,50429275.48,1077679330,6344571.13,23878312.77,4586400,199388404.2,4586400,4586400,4586400,4586400,0,10150000,10500000,304989885.6,0,0,0,33655986.92,0,0,0,33655986.92,806.4,0,0,0,342163.74,342163.74,646657.6,342163.89,646657.6,342163.89,73986843.55,73682349.84,646657.45,346059.99,124127741.8,1542163.74,0,215768033.9,0,0,0,112831056,0,135532800,0,101649600,0,0,0,0,0,0,0
其他应付款,0,501623924.5,0,569228512,0,668291714.4,0,638884068.4,0,602887024.9,573808845.6,540215613.5,509776830.7,538692435.6,480665687.9,484653139.8,556130971.5,711062991.2,373807030.2,399664071,397382594.7,385631047.7,458408909.8,392210212.3,403211358.8,411697617.5,443456714,424737005.5,425631315.8,483143380.2,426102261.3,433439402.5,419099310.6,410918505.2,550004116,473412108.2,444828034.5,399390389.8,362860285.3,347705102.7,341529277.2,227809323.6,200616403.1,184381478,137981404.8,186067183.2,180829064.1,161592887.3,158145553.5,149735782.1,168545545.3,137874500.8,125842524.3,429855623.9,625089577.6,121126614.6,125906786.2,142420307.7,87377689.77,75832196.41,83518246.27,78333393.63,53538559.46,61503986.07,61362743.69,50266421.67,69711583.44,61970799.29,35334355.64,34564825.19,75222201.42,42265265.99,37278317.46,33727371.7,67073744.92,43165337.24,46526053.99,41077967.09,36834967.21,41236618.12,36816045.85,45763833.07,87951549.01,22803638.7,0,31254528.13,0,19633918.46,0,24770132.48,0,25691782.25,0,33247804.41,40465048.66,14511798.36,0
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43750,741697.79,5561550.09,4054799.91,114872.94,772600.7,7149730.67,5192676.11,729855.24,0,4342910.16,3697531.32,461025.18,673462.76,6836371.56,4131259.12,852729.08,2177270.59,13865203.39,9199092.27,1338237.82,12791914.82,344446.61,8649627.38,451893.84,187309.84,5793.6,0,0,0,0,0,188286.25,0,463987.74,0,666788.69,347442.79,469107.02,0
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动负债,64413287.4,72219178.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,20000000,20000000,40000000,115000000,75000000,75000000,75000000,18000000,0,0,50000000,67000000,150000000,175000000,100000000,100000000,20000000,20000000,40000000,57400000,0,3000000,0,0,0,0,0,0,0,5070000,0,8000000,0,0,0,9997427.97,0,0,0
其他流动负债,218250760,218267353.4,158902913.7,71461894.52,83597818.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9695444.43,9695444.43,8590444.43,9695444.43,14242620.1,14849536.77,8926930.63,8926930.63,6177028.11,2525388.8,6177028.11,6177028.11,3645169,3645169,2606134.26,3645169,106134.26,106134.26,0,106134.26,0,0,0,0,0,5840390.68,2851540.28,0,0,7911326.84,2700663.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197615.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动负债合计,7620527313,7747571779,5281768935,7237292944,4451069589,6787078920,5394293975,7232359192,5079466492,5415483438,3291598339,4778129182,3510887853,4367225068,3092686203,2421200601,2277403370,2775660705,2448192767,2892760644,1806654503,2713446593,2205551216,3441562490,3232616506,3333447022,2550999679,4114025515,2751161799,3063444812,3379798825,5899205337,4071175758,5772049980,4836004697,5161939155,4621767237,5244793595,3164071810,4033354287,2466275721,2455256887,2063773906,2554537409,1531764761,1717068212,1607019602,1676926940,1366347412,1598632768,1241978895,1120101459,1134558074,1778795726,2034894824,1309149028,1133550788,1206731208,970930545.8,971159184.6,911023928.7,1072588127,816390725.6,863255040,849072636.8,818121971.1,737535869.7,710925831.3,884159877.8,1002284696,938142916.7,895054826.8,942422030.3,843376796.4,792404825.8,729960441.2,697416988,690247664.2,627837030.6,384194175.4,600682345.7,639931787.1,429887456.1,418245264.3,73000000,519261316.4,407126992.2,444529910.1,370630700,343262312.6,214217900,188700465,172697500,228646990.5,155623154.9,91205708.2,0
非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,20000000,78000000,78000000,78000000,135000000,153000000,153000000,133000000,133000000,78000000,75000000,100000000,100000000,180000000,180000000,170000000,170000000,220400000,324000000,3000000,3000000,135500,0,49500,79000,0,0,0,5070000,0,23700000,0,29420000,24856870,31948750,0
应付债券,3988635255,3987872100,3987090283,3986319687,3985563676,2490883676,2490393487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
