报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项,146671994.7,74685537.38,184588396.3,163698852.8,222257385.8,151818448.5,245130987.1,207807549.5,227310281,137243573.7,156075867.6,123773328.6,107274416.5,197835516.5,479453284.1,86712705.85,57475332.98,91778994.09,25848210.12,52549185.82,68890584.78,94997045.2,90927528.76,72447260.65,112983378.1,124025264.6,82724695.67,88577115.4,30326722.78,1924443.15,48741664.68,22725899.86,35679151.74,16200911.85,154811128.5,83919858.96,83366082.69,45681664.4,77840204.6,66665484.28,36050877.71,116404012.1,229342086.6,123590408.9,193666734.2,125966998.3,110186182.1,117560407.6,131246645.3,61098858.79,64362585.06,62252412.2,90107965.48,568200648,109718369.3,134224306.1,106888527.2,94549315.86,151938145.8,119443149.7,135857983.8,98489107.1,134120699.5,140740554,97610924.21,90474124.26,89026385.74,81841605.39,111958226.4,53507717.32,75073494.8,67862260.24,43527982.37,65006130.69,65165724.97,19650115.56,58930839.61,53399185.87,48755169.25,3288763.52,11554755.72,4931261.92,12264857.2,1801688.87,1288387.2,1265772.81,0,3623997.95,0,2349863.76,0,21276641.38,0,1254459.27,832849.42,221680.25,0
其他应收款(合计),122509098.3,127032931.4,168568030.7,205474170.9,198959567.5,159753421.6,174078953.6,237698717.2,233247844.2,166525010.2,181677137.2,176401805.5,238889254.7,235725944.1,0,239934229.1,0,229832392,0,270909288.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,0,0,45938344.45,67318644.44,52364255.63,45636744.44,38450244.44,38728344.44,57337144.44,29970944.44,0,30390442.66,15722671.9,14546875.69,16276666.07,17448300,19147700,10295300,7649900,7763300,18601300,11619900,3328400,11136500,11237550,15356850,39586850,36906750,40730700,37312855.56,48305965.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,1407900,25328195.77,30114991.3,0,0,3324669.71,29483836.65,0,0,0,15140924.47,0,0,0,4632117.71,0,0,0,31371206.15,0,0,1177699.7,46906.65,0,0,0,51500,0,0,0,0,0,0,0,0,0,0,0,0,0,35316480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238249.83,0,0,0,297812.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,0,125625031.4,0,108040535.1,0,114116677.2,0,169486536.1,0,136554065.7,181677137.2,130870438.4,223166582.8,221179068.4,227685288.8,217853811.4,284462896,219537092,284294729.1,231774782,235211446.2,215070887.4,288905573.7,222873986,331750483,317639367,55646633.46,33481798.56,33366412.74,21088072.47,43166197.04,35695789.31,34161647.71,11890861.76,32258379.39,35782969.41,23371551.22,23969331.76,40454349.83,44508403.49,39978101.23,26415564.82,51626295.34,45968638.09,65776794.59,24827735.54,73492128.41,69257902.86,115410920.2,20984016.85,81907613.11,43880755.03,49796988.38,29114206.63,1106209549,95136086.35,47244868.3,28470748.87,55497785.6,66455031.6,56589060.88,56848725.74,53035750.56,27093713.55,53393836.42,40859692.96,46869029.61,34789567.16,55031252.95,29571549.94,59055359.22,33234451.85,92950604,32883943.54,86844609.32,70660352.75,82300817.29,52668637.89,67564206.81,88273120.06,111901308.5,96942823.94,266268655.4,217019058.8,248734947.1,104411857.3,0,126922342.6,0,87295857.25,0,91581538.13,0,29107149.61,45843264.62,36641535.37,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,5152641419,4695663431,3656080824,3805416004,3774928731,3641235092,3481827831,3312040577,3258057106,3230415750,3054303205,2956290394,2960977086,2811866523,2682804005,2310179785,2408688710,2513775233,2527775198,2440451426,2655699296,2859998734,3030508580,2892398620,2882901427,2826992568,2444194026,2199202808,2605314208,2414766804,2254546441,2693428388,2707143121,2911818746,2743180636,2467644695,2144424963,2133167695,1680168309,1589195106,1457699915,1485554085,1376052730,1317820619,1225588659,1195607676,1105844980,1068043124,1018028277,1188694505,1022380951,985933709.6,969202591.9,1239359673,1292839148,1319035102,1299336718,1243179436,1091905166,1165804027,1061638556,1166271993,906346163.2,905493056.1,875010308.2,930533283.3,898277362.6,852696165.4,847838394.5,900565516.7,808441364.7,818572751.7,791524212.6,776391947.6,722916045.4,758230258.9,695975705.4,667981000.8,595331393.8,515907903.7,400031416.1,388729692.1,353959056.9,380578815.2,326485960.3,276096001.5,0,263094906.4,0,234944789.2,0,145954742.5,0,155443913.3,107968377.8,62358546.04,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,1326057.13,1898027.98,915,778299.7,3483663.85,3734640.84,2450969.46,1305049.83,3559020.68,2090114.86,717722.91,811196.59,6436093.76,2532712.14,1195001.78,1653515.75,8050003.3,2736996.89,271627.39,1015670.51,2553972.89,981330.14,3520041.8,2380149.57,5013085.15,2956887.73,4048756.15,833888.61,0,6984192.01,0,13493527.36,0,15623154.25,0,719634.27,859320.92,248503.76,0
