报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产,193948268.2,195244779,195689155.4,196265345.4,198179524.3,199690174,200495919,201623695.1,99427411.73,95726171.45,89785770.24,90585437.98,91385105.72,92184773.47,92984441.23,93784108.97,107411661.4,108295360.7,109202231.7,110109102.8,111015973.9,111922844.9,112833177.1,113743214.2,114641457.9,115551204.9,115861763,116780482.6,117682587.4,118600310.8,119257923.5,120355899.3,120993904.7,114569603.9,109640408.6,110324186,89466284.82,90144800.47,90618743.78,91314054.62,92009365.46,92704676.3,93399987.14,94095297.98,94790608.82,95485919.66,96033670.5,99658159.34,100384966,101080863.9,101792216.2,102503568.5,312432437.2,314778703.4,314283373,454831040,460404237.8,463695531.8,347035516.4,349683803,352632077.1,362169611.8,365922023.3,369648751.8,373375480.4,375481754.8,381101195,385587874,156935093.7,159409144.9,162331830.6,164314549.3,55545184.36,57715768.43,61747352.82,61722352.82,60568923.39,60824923.39,24035209.73,24082709.73,22036845,21974345,21606431.66,24606431.66,0,0,0,0,0,0,0,0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107586.61,107586.61,107586.61,107586.61,0,0,0,0,7230.25,7230.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83183.73,98780.73,126337.82,189481.66,255959.2,375213.08,592799.2,665245.84,931124.74,1197003.79,8222892.84,8488771.89,4932990.94,5198869.99,2023872.83,2122204.68,1903036.5,1309444.38,183333.33,0,0,0,0,0,0,0,95750,104000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615143.21,615143.21,615143.21,615143.21,701518,701518,52475.3,744715.32,809501.92,874288,2162319.18,1981830.94,1554380.61,984970.8,0,0,0,0,0,0,0,0
递延所得税资产,12755362.69,21556549.09,21676703.14,21688138.76,22582828.07,22875941.73,21860828.92,22694489.75,26373517.99,27806624.95,27239101.92,28223322.89,31035055,31984383.92,27108691.93,26575316.82,19134925.76,19636201.89,13495752.47,13890188.77,14130365.4,21545578.79,16849269.05,23654770.53,29906890.68,36780449.95,14106135.42,9165246.54,8403626.12,8467706,7665266.01,7714239.16,6022987.16,5935079.06,8304537.59,9469328.91,12469467.2,11617557.11,1826875,3653750,6288518.32,8384691.09,5606965.92,5606965.92,2994247.81,2994247.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他非流动资产,2769057.8,2881607.49,3492862.79,3712021.6,11361326.56,11487078.06,12014150.68,12333492.18,115500438.4,110742731.7,105311947.8,104209547.8,104562347.8,104747291.9,103043187.8,103043187.8,107306366.8,109906366.8,154291861,123175660,123175660,123175660,123175660,123175660,120675660,121075660,114296650,109396650,112713944.7,112713944.7,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,52471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非流动资产合计,754042111.6,747411155.4,755353335.7,748881608.8,752176715.7,761763495.9,764660775.3,769682696.5,774511728.3,775549683.4,660163257.7,667011862.3,676628333.8,689863273.5,693003078.4,696920013,759357435.2,772012029.9,829886308.5,818538600.3,820049446.7,836954711.2,838525271.1,838927478.3,850410718.1,839772455.5,813884646.3,786459241.8,776292001.6,769046804.2,656058084.8,647016907.2,613003659,624567537.8,541724175.8,543150208.7,527426311.8,521340204.1,491663332.4,474414827.3,500626704.5,502758001.9,506957097,510454126.1,472551881.1,474034087.4,477511891.6,478035726.5,480996057.7,484923410.6,432166954.2,437283089.7,650536738.5,657883431.7,658066652.9,816427352.5,830372283,855107733.4,744613625,755230329.2,769405739.4,844800721.9,865001595.7,882086296.9,896011762.8,907193700.7,0,986137693.4,762094843.1,768606873.6,766095874.2,750127091,665385246.3,676361563.6,699329147.1,698679323.5,704499217.4,696958238.3,567212913.4,561480116.1,546558329.7,502421684,483880345.2,477759451.4,342172424.1,259716520.5,206785796.6,206237916.5,0,125680653.4,34920902,0
资产总计,4543874496,4337013154,3641814539,3292537276,3169686957,3228583367,2949696024,2854869440,2851674731,2870051532,2578329285,2557646569,2564719391,2541736624,2364858565,2320522913,2342931236,2360797878,2230088183,2282846190,2287206829,2280973380,2193251288,2124671232,2138351364,2106915039,2015589675,2031937533,2087052249,2177283542,2139206471,2174395056,2360557268,2542905207,2918453968,2711793154,2292795006,2148798055,1296566562,1284666999,1246661235,1290349827,1261117528,1261527736,1205149312,1222482163,1164768271,1105981053,1080455105,1161337671,1225209260,1212148271,1210750173,1316729040,1272409384,1277864348,1302835943,1308413042,1442492697,1607318024,1719445041,1862439170,1947980649,2058514661,2014994434,1992032044,2083398422,2062233106,1982422978,1983238760,2153958712,2223340556,2232852877,2278762298,2355938799,2129654419,2076270953,2156692462,1860991931,1798376809,1619976077,1704855934,1353831427,1224041818,1040081703,926627284.4,531739906,424697273.9,400240701.2,283451723.7,114519500.6,0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,0,0,0,50000000,0,0,0,0,0,0,0,0,0,20000000,100000000,190000000,190000000,190000000,150000000,150000000,70000000,70000000,100000000,100000000,59000000,59000000,59000000,86920000,143152123.4,183031123.4,208024242.6,210024242.6,268997047.1,383729315.6,418770396.9,463770396.9,468448745.5,469048286.5,472457786.1,478250714.1,456850714.1,458700000,422152000,450500000,445800000,435800000,437200000,482300000,484160000,419135000,233960000,199960000,97360000,69360000,89040000,119440000,88060000,91660000,50000000,45000000,0,0,152770000,142745904.9,37763328.66,0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据及应付账款,171779634.9,157552399.5,112158342.3,74408750.65,96240655.59,120488956.8,96558884.2,81005385.76,77801855.89,88587558.51,56741248.51,63146343.53,63301857.86,56296523.68,0,51024727.62,0,70685761.69,0,101034094.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据,0,0,0,0,280200,480200,200000,0,0,0,0,424779.5,1720000,3497100,3546900,4815400,6247100,7750500,15330536.6,44893992.4,44414310.05,22621356.32,16329502.07,5750000,0,0,0,0,0,6650000,5750000,18184532.32,28484532.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84801.08,0,810000,1530000,2600000,2600000,22070824.06,27210000,27600000,31900000,52600000,42600000,50000000,30000000,87000000,265000000,265000000,215000000,90000000,90000,54491432,62016432,50354437.7,17295583.2,9958596,9040500,17181810,21491935,13373840,6150000,0,1800000,0,0,0,0
应付账款,171779634.9,157552399.5,112158342.3,74408750.65,95960455.59,120008756.8,96358884.2,81005385.76,0,88587558.51,0,62721564.03,61581857.86,52799423.68,48945454.65,46209327.62,52245158.15,62935261.69,51744859.93,56140101.87,78857672.12,64746402.93,53874215.92,68363177.56,67436798.67,48296944.4,59005388.49,72619468.6,85705023.25,95633880.44,60823117.52,52088091.68,41505363.33,64982230.46,75898594.15,108968010.9,84669733.2,98097279.11,54453611.12,62606494.01,42280334.17,47910181.44,38869643,38776162.79,32645258.52,32358392.19,24354471.47,20399510.89,22669141.2,13556412.58,21341872.22,21732971.64,23872198.54,31061783.19,39779805.11,45603274.7,45605112.48,58151714.19,64005158.62,62735084.23,78236004.15,88432222.02,85974084.48,77649913.07,82369247.62,81711962.66,55815694.46,67678489.58,54123788.6,51183957.96,53585860.47,57406588.3,57576322.62,61538256.34,72776246.55,75740384.22,39378268.33,78309793.63,76796534.86,82963603.85,78717545.36,74109901.92,65903652.98,55150974.36,38891053.73,33803715.15,0,22463256.96,17291260.22,13265513.54,10582017.18,0
预收款项,196036.34,282961.12,0,0,0,206676823.9,134311405.3,74457061.05,119685936.8,154024391.2,56886671.29,91082722.34,136622859.4,140405240.4,106288434.1,110812838,114849606,154160345.4,113430813.2,154958563.6,157634372.3,190549427.2,164974300.4,127726465.2,166479463,191138531.7,121294183.4,113286488,106592935.4,113361317.1,109624083.7,81593813.8,195530224.6,349153251,432352080.5,463608820,327148085.8,450970970.1,154130456.4,209224674.2,178378062.5,128561661.7,172515016,147540125.5,135454663.3,142005733.5,117565053.6,87172144.48,46721453.7,70238777.18,82961321.83,46178579.42,41136806.65,73293804.46,51170112.65,42135508.52,41955350.64,84598177.9,82734837.32,100033187,93236974.29,112099071.3,69566305.57,57098365.45,45894041.74,65971222.86,54835212.17,59332616.59,64398636.23,151946922.7,78573365.7,81348771.52,89304665.38,123475951.1,77505048.57,86184982.25,5067625.97,119517914.5,3351577.57,8677979.86,313335.1,4278678.19,0,2504017.58,191971.5,0,0,26340.12,746555.37,2476217.48,0,0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付职工薪酬,82976973.64,78754928.77,39826584.62,42334680.59,36188768.86,59554321.72,26038788.85,24672706.57,32810954.35,64440711.4,36085090,38212824.97,33743105.12,59190284.51,25898170.5,25254571.1,25764951.48,37665988.86,21577072.7,22906270.4,21552412.92,42593717.87,35297023.88,29626678.42,26582555.43,26202426.44,26385944.95,20373170.85,23662596.68,31560905.67,20907893.8,22242054.33,30297461.51,40230365.1,31916171.7,28460443.03,27653221.95,39942685.25,30187184.17,28612772.99,23489703.92,31245894.74,19588074.27,21410725.99,18298733.27,23530232.51,16272651.68,18607642.49,15559274.05,22086104.17,28141806.28,29576638.82,27991652.35,29151452.1,28091430.76,52363500.41,52144494.56,19118290.8,21164672.67,23600291.89,21430791.63,25476112.68,24476204.84,21337910.45,21795603.15,27450863.86,0,25594022.29,20004952.13,26414944.18,26994333.9,23215708.54,19980364.49,27054324.33,22392896.29,24989410.2,25308351.31,36712699.43,13729767.12,19980462.86,16850284.15,19486421.29,13869193.41,13275984.39,6220792.72,2579711.17,0,0,0,1026144.49,962269.15,0
应交税费,153594431.8,122757040.6,107834794.9,74239105.43,56822373.32,100190461.7,52481511.13,79201368.87,67463720.7,106062316,57835171.49,57340717.54,58436530.48,89143590.66,41720682.63,44028844.23,44989271.89,49616643.16,21497608.58,20302103.23,28241527.31,24571735.45,17896776.51,7346615.75,8199523.06,19461996.22,11798676.38,4367345.34,5879113.87,4604030.32,-8516737.43,10846180.91,11911674.05,-14780089.57,158764684.8,116963365.6,80156463.8,57063007.16,48703986.44,32814358.29,46085623.77,67590664.34,38397628.23,38332916.33,43589438.08,48309000.41,75838525.71,88536543.51,95224827.6,110379674.3,112488907.1,111155157.3,115032644.1,125633428.3,150593257.1,153607027.3,163173817.4,152102310.7,145267045.1,136147582.3,98349386.63,114404016.7,95232864.69,111345179.7,68776858.11,26269863.28,58509983.64,36577614.68,39934733.26,-8183724.14,29256335.2,9610414.67,5556994.33,-2568183.66,24622606.28,27779994.23,41160199.52,13105037.25,61336659.01,21558925.19,8352936.44,7891411.66,13089684.65,2628548.38,2562463.84,1692729.16,0,0,0,0,0,0
其他应付款(合计),337375528.2,295738809.8,295885661.6,295866843.7,277788220.1,297246304.7,313649523.9,298472599.5,340460810.7,267267935.9,246279383.6,230402566.1,246978654.5,185051389,0,170840897.7,0,149198416.7,0,148239886.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092064.59,552064.59,0,0,0,0,0,0,0,0,0,0,0,83333.33,0,0,0,0,0,0,0,0,0,30888.91,168361.13,268766.67,433860.33,258125,221250,221250,103600,116550,183333.33,201666.66,898290,840190,861275,5711951.85,31038466.78,32670809.72,63256896.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付股利,0,0,0,0,0,0,0,0,48739347,0,0,0,48739347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428144.19,3476785.1,3476785.1,2905090.7,2905090.7,3095655.5,3095655.5,2905090.7,2905090.7,2905090.7,2905090.7,2905090.7,2905090.7,2905090.31,2905090.7,93820090.7,94207029.46,777.39,63212711.89,135777.39,121220777.4,0,0,16250000,0,0,0,1834594.94,933097.26,479240.59,0
其他应付款,0,295738809.8,0,295866843.7,0,297246304.7,0,298472599.5,0,267267935.9,246279383.6,230402566.1,198239307.5,185051389,186382798.9,170840897.7,162861425.7,148646352.1,144324485.3,148239886.9,129134953,134046993.1,128750339.2,127702436.2,129370483.2,97602532.49,80705867.24,72114786.49,68727134.02,79293833.35,99286056.08,127297335.9,146705010.8,206421586.9,312946198.9,285862375.9,282251440.4,130874444.9,167024818.5,114445565.1,79182443.19,67364830.37,63319547.52,95480085.26,131620991.5,133860526.1,189676247.1,174181989.6,172611596.7,210979979.3,255590401.7,252205809.9,335307703,359883464,233165516.2,198580186.5,161235436.1,130642688.7,83988118.43,104428264.3,107262269.2,136992114,120110522.1,102201980.1,94951936.51,88300839.96,176007710.9,189735313.5,126477707.2,122467216.1,177560744.1,119042399.6,109934562.6,120010984.9,107324619.6,48978334.19,44926929.52,64998912.45,22180550.94,28044746.89,28760341.66,30553971.38,43065225.89,27756816.59,23187000.07,41158878.28,0,0,3215224.08,7044824.2,1360048.46,0
预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8860283.17,10593151.58,10675855.15,73930301.5,68482927.22,65409134.57,64161684.2,56778627.84,33963649.72,24689878.85,17517241.2,16080701.2,24465932.22,12186662.42,5404242.87,10421638.39,11285222.78,10654967.38,9218243.15,6321865.28,7359878.61,5988684.6,3972566.2,1017818.94,5132951.96,1104414.41,4993552.54,659384.76,4671035.26,427670.48,3212248.17,66728.76,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333220.76,1342361.23,2328216.43,0,0,0,0,0,0,4550923.85,9338232.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,50000000,60000000,60000000,10000000,10000000,50000000,50000000,180000000,186800000,0,0,0,0,30400000,27500000,0,0,0,0,0,17485576.27,0,0
其他流动负债,75518407.31,90538687.12,43148040.95,27791307.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动负债合计,1402375026,1465119583,931101972.9,728722254.9,629061743.6,784156868.8,623040113.4,557809121.7,638223278.4,680382913,453827564.9,480185174.5,539083007.4,530087028.2,412782440.7,401961878.6,438049577.8,491327155.8,397905376.3,477440918.4,489835247.7,509129632.8,447122158,396515373.1,428068823.3,412702431.2,299190060.4,282761259.3,290566803.2,381187300.2,287874413.7,312252008.9,454434266.7,646007343.9,1011877730,1003863015,801878945.2,776948386.5,454500056.6,467734753.5,469584528.7,534275220,524466130.6,534126357.3,511830334.7,530285134.8,493810549.5,459014381,452969626.6,527442614.2,564973523.1,530027579.8,603202279.6,711655883.9,685850995.1,718584582.2,746156007,746849908.7,739748297.4,884029561.4,885714406.1,1003013747,925487046.1,896682909.2,835845905.9,819216861.5,910931872.8,896889210.6,836796367.9,887783824.3,974049127.2,1065725156,1007552131,1046185306,941002362.7,743292228.3,723317934.4,858064076.4,331258000.5,312456780.5,237465875.8,386432420.3,276920853.3,242776045.7,153891765.3,130461176.8,233615921.3,191726275.3,178421913.3,184977278.2,51147144.07,0
非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317968.92,3338720.5,3326238.57,4351282,4319451.47,5349160.9,5811422.38,6846917.32,16023665.78,16978991.37,26706308.24,27576125.05,27278371.72,32126600.43,32353512.71,48792306.03,46640315.89,46656804.39,56226113.16,55592069.16,55977503.16,54323981.16,86937510.5,86222019,87804093.12,60321327.37,52180720.6,33377446.38,88898048,94066856.4,100111616,60000000,40800000,14000000,190000000,190000000,30400000,0,0,0,0,0,0,0,39000000,10000000,17485576.27,0
应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
租赁负债,2145522.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,1731400,1731400,0,0,0,1171400,1700000,6859035.96,0,0,-1252859.7,0,1954678,0,0,0,0,0,0,0
专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000,2200000,9200000,9200000,9200000,7800000,7800000,7800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10363159.14,10363159.14,10368774.63,10368774.63,10372872.97,10372872.97,11086192,11086192,11086192,11086192,14989468.08,14989468.08,18023182.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
递延所得税负债,8604330.29,8896752.72,8402799.32,8151242.9,5810075.66,8015203.73,0,4085867.31,3561638.4,3561638.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429517.98,6859035.96,10288553.94,13718071.92,17147589.9,20577107.88,24006625.86,27436143.84,0,0,0,0,0,0
长期递延收益,5722499.76,5869393.71,6016287.66,5663181.61,0,5956969.51,6086363.47,6215757.43,6345151.39,6474545.35,6503939.31,6033333.27,6162727.23,5972121.17,6091515.14,6210909.09,14459691.12,14652963.42,14695707.58,13682161.66,13865206.69,14048251.69,10422130.02,10496008.35,10569886.68,10643765.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他非流动负债,0,0,0,0,8289020.91,0,5630088.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8717643.34,8791521.67,8865400,8865400,5884000,5884000,5884000,5884000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3284350.43,-3284350.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非流动负债合计,16472352.13,14766146.43,14419086.98,13814424.51,14099096.57,13972173.24,11716451.68,10301624.74,9906789.79,10036183.75,6503939.31,6033333.27,6162727.23,5972121.17,6091515.14,6210909.09,14459691.12,14652963.42,14695707.58,13682161.66,13865206.69,14048251.69,10422130.02,10496008.35,10569886.68,10643765.01,8717643.34,8791521.67,8865400,8865400,5884000,5884000,5884000,5884000,0,0,0,0,0,0,0,0,0,0,12681128.06,13701879.64,13695013.2,14720056.63,14692324.44,15722033.87,16897614.38,17933109.32,27109857.78,28065183.37,41695776.32,42565593.13,45301553.8,32126600.43,32353512.71,48792306.03,46640315.89,46656804.39,58426113.16,57792069.16,65177503.16,63523981.16,96137510.5,94022019,95604093.12,68121327.37,52180720.6,33937446.38,90629448,95798256.4,100111616,60000000,37515649.57,11887049.57,191845167.6,193574685.5,39804300.27,12523800.04,15894730.2,19317923.93,25961303.86,27436143.84,39000000,39000000,39000000,10000000,17485576.27,0
负债合计,1418847379,1479885730,945521059.9,742536679.5,643160840.1,798129042,634756565.1,568110746.5,648130068.2,690419096.8,460331504.2,486218507.7,545245734.6,536059149.4,418873955.9,408172787.7,452509268.9,505980119.2,412601083.8,491123080.1,503700454.4,523177884.5,457544288,407011381.4,438638710,423346196.2,307907703.8,291552781,299432203.2,390052700.2,293758413.7,318136008.9,460318266.7,651891343.9,1011877730,1003863015,801878945.2,776948386.5,454500056.6,467734753.5,469584528.7,534275220,524466130.6,534126357.3,524511462.8,543987014.4,507505562.7,473734437.6,467661951,543164648,581871137.4,547960689.1,630312137.4,739721067.2,727546771.4,761150175.4,791457560.8,778976509.1,772101810.2,932821867.4,932354722,1049670551,983913159.2,954474978.4,901023409.1,882740842.6,1007069383,990911229.6,932400461,955905151.7,1026229848,1099662602,1098181579,1141983563,1041113979,803292228.3,760833583.9,869951126,523103168.1,506031466.1,277270176.1,398956220.4,292815583.5,262093969.6,179853069.1,157897320.6,272615921.3,230726275.3,217421913.3,194977278.2,68632720.34,0
所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
