报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项,358677315,247259080.4,370076826,372415316.3,514966436.2,231909140.1,570363234.2,229308693.7,251425595.5,220916820.6,661505054.4,457883202.3,459361428.9,198058435.5,285151661.4,237477970,363047875.5,271649757.8,281844564.4,314006426.8,389494047.3,332130005.3,198250284.7,199040884.6,211099303.2,298155704.2,567747380.7,224045622.7,145246156,213651778.2,375593573,226754621.1,109493039,258719181.6,278664739.9,251995509.9,263222943.1,254497498,241814896.4,218455551.1,275157634.2,328380998.3,191907282.8,323106093.9,348428191,195685085.4,184675932.6,139038405.7,41232496.46,45462986.79,11928878.33,10500016.78,5023436.71,7624049.38,2496309.3,5602998.94,1716533.62,2846244.14,4130276.51,7161550.73,67045199.5,81478767.47,8635003.25,5840481.63,2818645.49,6959145.87,820864.99,2720360.71,1401151.11,201151.11,279151.11,1294471.81,1551502.91,46973092.11,7921870.32,15255469.43,21453880.15,4955055.36,0,53713400.82,401627395.9,114124914.4,347571735.8,547588023.9,50037907.73,52103421.99,136861423.2,43872563.14,812211,17203730.27,0
其他应收款(合计),72249740.72,36199607.12,1381312447,1571484940,1338610845,1248644572,1408365888,1316401091,1074109682,871770375.9,879193067,950911253.7,744323416,634267732.1,0,855109775.3,0,622802117.3,0,643274004.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,0,0,1328926409,1499826973,1276794592,1215275215,1352413593,1267828847,1026208781,840888887.8,0,896209492.2,698586641.7,613136431.4,749721710.4,829863225,696005435.3,604019151.7,553030925.9,579948348.6,434804190.7,398511238.7,393919064.1,371591340.9,256097826.9,216399146.7,308673824.2,342299854.2,296183030,355196983.7,455867454.3,468116161.6,446820156.7,418175820.6,429918420.9,377424524.5,294469156.4,295940185.1,136641507.2,147828635,39873135.91,63714535.91,17555203.17,48182973.82,12057261.5,29337771.64,2021425,13592850,13090025,52818875,2013750,49343103.83,6723978.76,43219626.44,22055917.12,34057542.12,11063062.5,23900187.5,14764375,22445562.5,6350562.5,10667991.02,6884375,13199379.74,8005797.56,4424750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,0,36199607.12,0,71657967.34,0,33369357.49,0,48572244.06,0,30881488.1,879193067,54701761.46,45736774.26,21131300.66,40418418.96,25246550.28,31034384.08,18782965.6,76936616.31,63325655.53,32211234.28,19436307.34,34183309.53,26192058.61,37919746.39,19560121.19,87106826.59,29584864.93,30281211.37,23332076.12,49944731.74,36286298.67,35140468.41,25692147.43,123598983.2,57451613.52,51875346.56,42779907.2,48946166.03,52250874.97,61979651.54,37700601.64,58541301.05,71438969.38,97633444.07,68864328.27,50242987.81,29081736.34,37755192.71,25936687.26,29715469.86,29105179.32,29268188.57,27592841.54,31841306.38,28274604.24,26532807.89,25060355.11,27389747.18,26737112.18,27573851,25847449.93,27557665.95,27662132.69,7150137.22,11566490.2,13473895.74,13602466.67,25097801.03,22812470.93,22763656.05,24248360.92,49351830.58,14226681.33,81260234.73,97718320.13,108023655.2,165468658.3,0,26270936.15,19840418.71,26316868.58,587428972.4,90645670.88,132720247.3,8383799.74,136036363.3,36862013.93,16618451.49,12844507.38,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,12589647439,13228273631,13067375783,13170597115,12436636922,13679619615,12344416335,12004372676,11563152092,11795461088,11437518044,11334058117,10505467773,10557801464,9913263628,9627605129,9364037240,9257369374,9442953680,9355869461,8929792869,8700851180,8530807985,8507213622,8253645529,8091488734,7531491242,7316591406,7077955285,6885585995,6988166979,6890600435,6752485923,6680023737,6346798188,6080842217,5707586439,5536502483,4860415256,4835039414,4551014859,4514778552,4012206493,4009234952,3756438575,3476844741,3264420285,3219922001,2084787694,2076930884,1915649161,1891491825,1740967246,1805867258,1630465330,1660895359,1485234640,1508022530,1424746014,1509173105,1543267261,1449461395,1373053159,1313056259,1447514701,1375514739,1334464662,1257081230,1114274705,1092522751,980722281.5,895371219.8,931357053.2,958709328.8,1485944704,936722057.4,958050682.3,1308727395,0,894969989.3,578141921.9,972147455.7,576645619.4,630729514.1,436495272.4,552805762.9,553526408.1,609545054.6,536879605.2,467186347.1,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33063.2,52901.12,72739.04,13225.28,0,52901.12,72739.04,0,95138.16,0,332199.55,664399.15,19518958.67,3487944.55,1621937.48,12336323.48,0
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146460.91,0,0,0,0,0,0,0,0,0,0
流动资产合计,1.08377E+11,1.02356E+11,89087866349,84505921524,95659858645,96626765000,83297223775,78664691359,85895723235,78110170471,68105116085,72325440705,71899689563,63279701076,58549549301,56830438022,60211018994,54504540073,52627273145,52162595555,53120987032,44597411226,40477305521,39523919481,40812905463,38500080935,36806019011,37042608453,39574777361,36942220105,36677010963,37746920053,39190355773,37922333462,34772646329,32486014256,31683335468,29713141283,26099837265,25194992704,23793333781,21369714858,17294767958,15814295708,15300974759,13282916686,11306181812,8903212679,9622001998,8741552060,8337467850,7541278233,7478516127,6483891982,6889920157,6412053448,6108740734,5030755355,4838670607,4441105169,4962194967,4112770250,3949118000,3822276176,3361788930,2969540781,3365622125,3143506400,3443403402,2675222814,2849423473,2770924639,3044260866,2740958451,3509019594,3154799278,3194472144,3129334515,3482030000,2769167948,3544336194,2935101823,2353158193,2564056795,1959596697,1853942602,1760093156,866175420.2,603983566.1,551165058.5,0
