报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预付款项,28391615.95,28433100.8,36115301.2,3710691.24,4213221.23,3213427.73,33955534.36,25593478.25,27237672.35,7551944.5,5637976.39,99566684.59,43308158.25,53450452.81,40456831.12,56711582.25,24213957.68,12325261.66,13413847.32,14758378.98,14364183.87,5271136.73,5703923.4,6094091.5,7475970,7290677.66,5915865.93,25352649.7,19976252.78,8959000.66,11473435.79,12002015.14,13266375.67,17278698.62,18230339.03,40216721.06,22466450.13,26676271.42,17348937.12,93646563.38,76299639.38,12094429.58,33183721.74,7193264.85,18028803.57,8738714.82,16715678.92,17383914.95,14468863,18715605.82,22031685.61,12348483.19,28648976.45,12963784.3,10506268.28,29449458.56,8670851.07,3071453.61,65891184.02,3683173.8,2978551.01,3337861.06,2962953.67,905288.15,2729433.32,1437768.62,28426855.4,5916813.13,8349416.9,25751998.85,32556417.93,8133150.89,17099248.47,50295847.86,31375016.84,33524395.4,26429904.6,28964140.64,8141689.65,8675032.38,7452573.17,22910337.96,7385577.09,6007935.42,3739858.98,170000,4159290.12,0,3111017.41,11445883.95,11416280.75,1583555.63,0
其他应收款(合计),6604412.28,3695022.82,2694270.62,1617319.21,3537469.23,3048416.16,7938822.46,5958263.34,5772751.16,7823581.54,3876084.73,4008040.54,2021761.09,3029080.7,2010091.41,0,11258489.73,0,4295151.19,0,46779978.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,2848961.25,816082.5,546206.25,295335,0,0,5182061.57,3689554.73,2246425.24,1862157.53,1489672.6,1506501.34,193089.03,945536.3,296186.3,4808.22,4821361.68,3783534.24,1504438.35,0,0,0,0,0,0,0,0,0,0,0,0,107329.45,353527.78,0,0,497444.44,986833.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,4322107.18,159310.59,159310.59,3186211.88,0,0,0,0,0,0,0,0,0,0,5283020.01,5283020.01,10883020.01,13883020.01,0,0,373106.15,373106.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,3755451.03,0,2148064.37,0,3537469.23,0,2756760.89,0,3526325.92,0,2386412.13,0,1828672.06,2083544.4,1713905.11,4017956.66,6437128.05,3133084.85,2790712.84,4679655.83,46779978.91,47301962,45736140.94,21709875.13,9649951.99,9278736.44,7385336.23,8826419.23,2430154.62,5310845.13,2780511.3,11301434.17,5492926.32,26299039.21,31417491.96,21095328.74,18186287.84,34075308.79,40504590.07,65648563.27,66149978.65,79650798.03,88570417.68,136321772.2,105318897.3,111605306.5,112651068.1,113475018,115951145.8,109619717.8,116825739.3,139760400.4,135681943.9,48257423.78,44915972.84,7210420.01,10145127.53,27954151.43,33840989.59,157219198.3,144269100.7,217585069.2,176643505.5,181092554.5,183429298,164541913.8,94586757.82,177074486.7,46312020.54,46713106.43,42933503.57,145019256.7,59389081.26,62799404.25,29525586.13,153273756,141055209,115493509,130820844,18693537.5,22627975.92,57513880.38,27720751.53,52782687.57,13197196.48,14594056.35,9767874.49,0,14996251.25,18456806.69,21009231.74,6076582.52,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,1920788761,1878195972,1879399299,1731187889,1773235763,1603231561,1520039204,1458803536,1423453668,1359719201,1344590216,1279726046,1229114275,1191597206,920412028.8,862453541.3,768897805.2,799799318.5,803225573.8,727251450.5,734472639.4,688512186.6,717298910.4,737258250.2,754550760.9,748793438.8,776387232.7,772052947,779906570.6,772748595.7,765118394.8,742515831.2,756825272.8,1255663836,1231117819,1151111260,1111444968,1052242249,1043918154,1061867664,1064887580,1101215364,1105261622,1484406819,1440899245,1415905844,906090907,1120734231,1100984868,1019718973,944634776.7,917102092.2,890850297.6,1002103542,955281521.6,904172555.6,870178571,883013648.8,867208290.4,905546713,900330217.9,872106915.5,650096949.3,503426102.2,522608054.5,505000016.7,498524951.1,513109693,558942702.1,558042826.3,536853606,561915667.5,577568284.5,554343428.7,549789743.8,606952219,594324108.1,630149699.4,634819525.2,495809196.1,433515504,399288072.7,421935282.1,402733149.6,123161737.6,188141701.7,139810212.8,0,124175100,85137461.77,78457601.83,8809465.65,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,0,26000,997882,997882,997882,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237769.08,768339.34,1949455.87,2874191.09,1239869.35,1024518.44,1972545.26,2969728.25,1510539.55,1502901.64,1435873.17,2256794.35,1491878.64,2780702.11,3083721.96,3331200.59,2246020.89,3044388.66,3658963.38,2468931.68,2121690.64,4947254.76,1573485.05,1491035.54,1523528.8,2815927.62,1026921.28,1698268,2254313,0,2343310.53,4657475.57,53250719.89,736588.94,0
