报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
支付的其他与经营活动有关的现金,2845957158,2377545537,2239321023,1484736014,762035916.6,4959132467,1042733789,696498790.6,331990396.6,2715220389,842524816.8,621185290.5,334080405.5,1888535675,650144236.8,429282389.4,212000398.1,1277638227,649635442,556198130.2,205802978.9,1084889054,557834788.5,388508106,170465218.2,955689150.8,547995317.8,445435903.8,232876452.7,960968152.8,651341242.2,602422989.4,241992464.2,926238533,525695297.8,206292198.9,172269785.5,450210319.4,268736058.6,174302577.8,120788799.6,354230611.4,96194803.56,83398213.86,52446634.97,216192365.1,24468287.87,18113578.47,8679969.17,165197812.5,19545890.91,17468343.92,19163583.58,141873241.8,35138688.03,28561649.91,16917763.51,98058807.42,37405024.66,35717928.6,17599168.67,92900426.13,0,11074319,7474355,93228119,48076490,35065252,19727919,104160398,43531421,31270327,15307343,117239971,24228059,132522922,58371361.29,78671188.19,111655272.8,140555719.5,160157386.5,0
经营活动现金流出小计,5637946220,10294684817,8380321630,5321701299,3329216343,11887622876,6743163041,4603295114,2455929847,8509734283,5455549834,4079586248,2160942147,6542001559,4478737435,3308074795,1688787445,6210665145,3861364840,2788700651,1447788824,5715601117,3830302173,2664044109,1368767469,5083430115,3556189683,2717448070,1521546269,5042788904,3517873722,2668878903,1380994247,4322854894,2713467796,1858721024,1458284237,3056127382,1725715121,1148457066,628062626.9,1652414789,1043848189,814809410.7,436391177.3,1359153742,955709647.6,734054247.1,417291873.6,1400661875,1066412920,769487422.9,357453067.5,1261183996,1036452266,729283879.4,412671094.5,1096746725,762592113.2,548229339.5,294965132.9,746451939.5,0,405273767,205182236,735650847,570600155,405468565,245169202,652575161,429803710,314709327,209862250,658631880,326858063,977011056,465200041.3,1108325087,565362266.3,933015348.6,1012318862,0
经营活动产生的现金流量净额,-1373645850,3624543526,2579860187,2341638101,1632664980,192447063.5,2241371505,1041733749,1010701441,1440881286,2537458915,668946891.6,193972491.8,930914712.8,1172185422,425365224.1,648773393.6,1183231808,1202847188,326112613,475909121.1,790109535,667531025.9,336217657.8,308110106.4,387494289.9,249629976.8,-76213052.44,86065295.17,638255355.3,545432059.5,142716150.7,480662848.2,1086867364,1053503781,147934126.7,-43944281.4,625901467.4,294058900.3,195085921.6,-9490044.01,517700354.4,291632207.2,162039277.1,104945472.4,349939729.9,281248078.2,151980449.1,38410294.41,207760669.1,118093280.8,35082826.46,-14683400.92,120107688.9,4184255.11,-19115335.05,7089539.26,48120654.64,-4691063.15,-31226242.56,-29331180.71,38245950.13,33054683,-20791098,4867783,15535209,-17130843,-14664435,9127254,77236845,62907083,-4787798,-1990216,31876520,28552926,58658320,121515069.2,80959915.21,24878985.41,72723963.45,127230433.8,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,394900000,326968000,319970000,309070000,299000000,4007300055,3337200055,2576300055,1155560000,3392057566,1947182948,1050984415,450660768.8,5542089013,3027776929,2122314172,1359977130,3325502933,2687852538,2233652051,1130986038,2205995543,1698775053,1359031929,1236571351,2287057027,980093922.2,980093922.2,1040093922,900000000,0,0,0,0,0,0,0,0,0,0,0,15721660.5,0,0,397590,1128514.2,0,0,0,0,0,0,0,0,0,0,0,8116447.2,0,0,0,24000000,0,0,0,20771469,10000000,10000000,0,42697536,77428860,77428860,0,0,0,107778205,56640356.6,496065159.8,35000000,185000000,144000,0
取得投资收益所收到的现金,448415.5,41473224.56,18539603.54,18539603.54,20142992.71,126649168,131076489,72002136.32,24174323.96,137503636.4,98688294.81,64643822.92,25292217.04,87735460.11,93509806.38,79384831.47,64034803.17,78724727.77,68398591.73,44324855.36,30013785.99,63870974.91,49005653.33,38298172.94,25982446.5,92975082.74,80655048.58,54652112.8,45037065.12,10050415.19,581538.48,581538.48,0,0,0,0,0,0,0,0,0,0,982590.49,879284.55,232608.14,196140.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,2853600,8010000,6833308.35,1377000,7200000,1095548.92,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,107300,3756621.07,1932156.95,92400.01,0,4351897.2,294196,33700,0,1088510.86,190780,170207.2,85060,2275291.91,413563.04,412563.04,6500,4761778.98,971279.86,500379.86,0,87371.84,115600,107750,98400,1144535.3,343557.47,286406.47,172005,2831977.74,0,0,172005,68940.95,502395.2,386600,386600,987318.61,1122546.24,64799.3,64799.3,15292590.68,14215842.23,14207842.23,8000,286598.23,320942.78,300932.78,32558.93,2539112.14,1010215.79,698030.17,1487138.24,2101654.15,800247,530800,72800,1436773.51,873661.49,240400,0,4294647.66,0,167199,14750,1931846,975400,8300,0,920381,224217,196117,115667,7966643,203788,4134975,103164,1454472.93,127906,264509.55,11993974.77,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9527308.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17302464,0,0,0,0,0,0,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,5715000,1646000,1646000,0,2481400,314000,0,0,9384300,2264000,500000,500000,1850000,1100000,1100000,0,35423586,473919.44,0,0,240000,0,0,0,8100000,0,0,0,3250000,0,0,0,0,0,0,0,2400000,0,0,0,7530000,0,0,0,0,0,0,0,6452360.15,0,0,0,0,0,0,0,17302464,0,0,0,0,0,0,0,0,894894.86,0,34419443.23,0
投资活动现金流入小计,395455715.5,372197845.6,340441760.5,327702003.6,319142992.7,4138301120,3468570740,2648335891,1179734324,3530649713,2046062023,1115798445,476038045.9,5637814765,3123346299,2203757566,1424018433,3411470840,2757536409,2278477286,1160999824,2279338190,1750160307,1397937852,1263152198,2383026645,1062192528,1036132441,1085302992,948305978.9,1055457.92,581538.48,172005,308940.95,502395.2,386600,386600,9087318.61,1122546.24,64799.3,64799.3,34264251.18,15198432.72,15087126.78,638198.14,11138561.42,320942.78,300932.78,32558.93,4939112.14,1010215.79,698030.17,1487138.24,9631654.15,800247,530800,72800,9553220.71,873661.49,240400,0,34747007.81,0,6619559,14750,22703315,10975400,10008300,0,78222845,77653077,77624977,115667,17966643,10203788,114766780,64753520.6,504352941,37399800.86,192464509.6,47652966.92,0
