报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
经营活动现金流出小计,944044786.9,4156494622,3079015608,1740899000,749587460.4,4374075216,3296316776,2017751391,926464623.7,4325100190,3364955270,2126670142,899718230.5,3955854112,3020346810,1981926177,892099497.9,3731926829,2914970870,1881020265,972193231,3773995563,2827051489,1792671256,787474727.6,3010600835,2248296006,1205740290,560171976.3,2804644148,2004720623,1184391132,550312897.6,2760910075,2116305116,1276194332,548760068.5,3115712828,2349313264,1393820551,575069012.9,2237176531,1692286507,943450006.6,397315056.3,2156962127,1652505408,975603639.6,2939517379,3274289308,2899705922,0
经营活动产生的现金流量净额,-21790864.22,688681058.6,996203507.3,589694427.5,-101832421,758022919.3,866808004.3,466476027.6,-51201163.22,430004010,722297048.2,360408371,-95332180.94,494707526.5,703352880.3,181337567,-139982454.7,1022317020,538338947.3,107355062.8,-222003730.4,722091768.6,706418763.9,391680412.3,246662.89,1167236126,1129966127,424047467.1,-59631182.26,1219670016,314035741.8,175349844.4,44444625.93,500219333.7,321163690.9,176318457.5,-21384695.25,195640629.6,242892181.5,173109510.9,-17220421.57,245770741.1,171172325.1,103673172.5,26079409.22,421868236.6,356166567.5,223938045,260888320.5,414197866.9,215234778.9,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,701000000,2810726685,1804500000,1154500000,905500000,7532300000,6730300000,4512331414,1872300000,15191420000,10845020000,7000020000,3015120000,11546950000,9550060000,3858020000,1114500000,1647000000,1016000000,682000000,664000000,1561000000,0,0,0,0,0,0,0,8000,441008000,0,0,100000000,70000000,70000000,50000000,170000000,0,0,0,0,0,0,0,0,0,0,0,0,540,0
取得投资收益所收到的现金,466493.15,3661125.56,3295595.42,454680.81,294616.43,668438.03,668438.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238328.82,512801.42,0,0,100383.56,69315.07,69315.07,49315.07,248358.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,10156240,517281.42,349064.5,7749,1080,328799,23390,7160,1950,102896897.8,1292937.35,132855.38,121900,2731096.27,2730290.27,2345210.53,157480,5386403.57,619479.08,381334.28,27900,540467.12,515971.02,258184.72,137584.72,2084698.32,1055661.56,371682.56,308188.57,141092.97,68931,3146,3146,192772.5,174350,167300,1900,474769.85,286864.41,212574.15,262861.99,1198771.89,1061697,953266.14,0,15782.8,15782.8,15782.8,51333948.46,17231941.47,607807.85,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0
收到的其他与投资活动有关的现金,27827178.08,117419679.6,51541439.91,31032398.82,26388563.22,158889431.3,142404593.8,71734976.3,32188529.35,277426041.2,214994725.5,119817310,44882059.51,110757176.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486811.3,4050000,20397830.68,0
投资活动现金流入小计,739449911.2,2932324771,1859686100,1185994829,932184259.7,7692186668,6873396422,4584073550,1904490479,15571742939,11061307663,7119970165,3060123960,11660438273,9552790290,3860365211,1114657480,1652386404,1016619479,682381334.3,664027900,1561540467,515971.02,258184.72,137584.72,2084698.32,1055661.56,371682.56,308188.57,387421.79,441589732.4,3146,3146,100293156.1,70243665.07,70236615.07,50051215.07,170723128.5,286864.41,212574.15,262861.99,1198771.89,1061697,953266.14,0,15782.8,15782.8,15782.8,53820759.76,21281942.46,21006178.53,0
购建固定资产、无形资产和其他长期资产所支付的现金,48804544.52,292533014.7,193864295.3,146172905.7,31462671.13,2095655364,2068330229,120480981.1,39732022.33,191627169.8,156225600,109452588.9,56658981.39,227376481.2,183484699.4,122827977.2,85838234.35,339378720.1,269926710,210849367.7,145867757.4,476521002.7,393008167.9,303204647.5,182252475.1,662101458.8,470735280.8,238243795.2,115522007.9,285433900.4,188317873,108475405,25906563.68,338236428.6,323293862.5,289127627.9,108436081.5,238670626.7,143151491.9,115961875,36592471.49,346316313.6,261556603.5,98515826.41,17821601.05,144794900.2,123074196.5,97353444.94,503231874.9,302115360,482178334.6,0
