报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19980630,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
支付的其他与经营活动有关的现金,158792764.6,320150385.1,204020751.2,139121216.1,75085277.51,243587066.3,217956037.4,166262773.4,78747511.31,217052619.4,162053511.4,81524098.68,41238937.8,129714964.2,84566206.75,53766924.19,28154522.7,134724873.3,121249980.7,98793768.24,19135330.77,146084969.5,62205859.67,40572320.64,21894228.39,161167575.9,130405680.3,97860643.39,59522271.06,426066568.8,295513287.3,203583688.4,113582895.7,436411361.2,317057420.1,160176425.3,47686328.18,202069738.4,130285160,78202873.84,48538141.7,165811930.9,132502657.1,81821460.16,33393472.46,160560149.4,79181358.42,48580318.03,34813807.7,88976697.53,71375049.29,74299432.15,52766447.24,84985354.36,75093393.08,54663809.76,21400044.84,61500779.87,47366072.75,17691414.53,8133788.09,519356423.6,495037321.3,46316478.7,36065094.83,158029456.7,84336396.44,5967670.25,26746117.37,147039563.8,105944640.6,13205178.52,22048639.83,58722151.69,84424856.78,59627609.84,30413405.1,87538341.16,17829883.11,32879219.94,52041617,18430695.75,0
经营活动现金流出小计,621999505.9,1403216006,942491995,648486809.2,351707995.2,1172244333,903512913.4,662905314,371738138.5,983012158.2,736141764.2,500675271.9,281412758,724746975.3,525140446.7,353077262.7,186880018.2,558969970.7,438360333.3,310746206.6,143642131,494332161.8,348595916.6,248733254.5,134235488.8,560248606.7,435411000.1,323115103.3,175008035.9,1002073388,718689628.6,519617536,282821799.2,1734798510,1220767881,760071796.3,344766980.1,860284708,588233059.3,374675751.4,186666267.7,598335996.1,434193326.7,293657562.2,140873070.2,498273815.3,303494819.5,189753489.1,103616884.6,304943144,220800372.2,183968364.5,110425509.8,212740700,168734636.7,112151274.6,44875402.39,173722768.6,148307084.5,70298633.47,39980051.97,775026815.3,677239063.7,193571531.7,92946693.83,439364909.8,246554123.8,139033772.5,48963550.26,441859766.3,260656793.7,143858182.9,62793474.97,456555063.1,312197628.3,477877566.5,174100602.8,463272627.1,248181890.1,434065648.9,581888365.8,292541329.1,0
经营活动产生的现金流量净额,194692043.4,950153032.2,519674908.5,233437945.2,-47681481.16,381909590.5,178512635,122184551.8,-5870027.11,212256716.5,56627136.13,75130664.76,-925380.68,225121908.2,49295128.79,-2526044.7,-24613123.21,219307865.1,98619780.31,49004519.44,29439802.31,230665056.1,196118322.2,109851278.4,38313076.75,-65653629.92,-130534429.3,-117493452,-97002597.46,-468045017.8,-424481391.3,-345608832.2,-180916127.6,217929900.8,477838753.4,301831935.9,145252718,607224428.4,230469013.6,185475404.8,77820992.17,100481599.7,58146141.56,29395442.74,-4311682.09,-93458.38,54604303.82,28222341.31,-48512080.2,22082077.03,-26917186.6,-68832798.71,-60636604.46,172150389.9,113304501.8,57922952.63,54027387.2,168145362.6,121738768.2,5060741.55,-2726711.73,-361443174.6,-383899849.1,42586270.64,-9456707.77,160112824.6,164623424.7,146697842.6,5782122.26,-10167974.52,48727319.25,-6468700.31,-30649412.63,201804600.1,5202102.84,197509634.6,151072686,-104278957.5,-43359395.96,28738481.7,-26414437.9,28895909.01,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,0,0,0,0,0,1000000000,200000000,0,0,1780000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134000000,80000000,34000000,14000000,184465000,25000000,25000000,0,950000,0,0,435000000,60000000,60000000,0,0,0,0,0,0,70000000,60000000,60000000,60000000,0,0,0,0,4022130.55,0,0,0,0,0,0,0,969691.89,969691.89,969691.89,0,5000000,5000000,0,0,10497052.37,10640000,10640000,0,0,0,6547645.94,6500000,0,0,0,0,0,0
取得投资收益所收到的现金,0,0,0,0,0,13496712.34,0,0,0,22715342.47,19169452.06,10617917.79,5931479.44,15226630.13,11976493.14,5985808.22,2405808.22,8159191.76,5185821.89,3106369.84,1519863.01,8337999.99,3608794.51,2868246.57,1136767.12,3529194.51,3061742.45,2228728.76,630920.55,16882851.75,11302586.3,7720851.74,3418217.75,32074293.95,18630853,6502734.7,2292304.6,8060000,8060000,1060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,0,0,0,115367.96,697148.91,697148.91,16849.87,3793095.68,198890,6500000,6500000,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0,140335.09,30150,30150,30000,7805.8,1995,1820,-14400,1287954,307919.64,305600,305600,0,0,0,0,800,800,800,0,0,0,0,0,438773.5,438773.5,15000,15000,199714,196227.5,132727.5,94238.5,17257300,16680300,16680300,16680300,155176,66500,66500,22000,186104,160500,0,0,39542,39542,39542,0,15000,15000,15000,0,129858,129858,129858,12228,0,0,0,0,266506.69,244083.59,199056.88,5072.2,37059.22,48251.79,31002.3,9381.24,58419.5,38007.03,0,0,71488.96,62000,657886.95,0,4320,0,146200,0,149300,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52101200,52101200,52101200,52101200,116090199.9,0,0,0,6999997.05,7000000,0,0,0,0,0,0,7673677.35,7840605.78,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,52100000,52100000,52100000,52100000,0,0,0,0,0,0,0,0,0,2600000,0,0,0,6087,0,0,5884000,107914.56,51291.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45998324.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5125200,0,0,0,0,0,0,0,0
投资活动现金流入小计,0,140335.09,30150,30150,30000,1013504518,200001995,1820,-14400,1804003296,19477371.7,10923517.79,6237079.44,67326630.13,64076493.14,58085808.22,54505808.22,8159991.76,5186621.89,3107169.84,1519863.01,8337999.99,3608794.51,2868246.57,1136767.12,137967968,86100515.95,36243728.76,14645920.55,201547565.8,36504900.8,32853579.24,3512456.25,56165593.95,35419067.56,23234325.89,453972604.6,120316376,120227700,53227700,52123200,116276303.9,160500,0,0,77039539.05,67039542,60039542,60000000,15000,15000,15000,0,57823990.88,7970463.78,6129858,12228,0,0,0,0,1236198.58,1213775.48,1168748.77,5072.2,5397059.22,5048251.79,31002.3,9381.24,10670839.83,11375155.94,11337148.91,16849.87,3864584.64,5386090,13705532.89,13000000,4320,0,146200,0,149300,0
