报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
支付的其他与经营活动有关的现金,1385421224,1017477884,4047026186,2990931662,1690397034,1119744572,5315417151,4286829075,2376763661,905419975.8,2935766833,2188413775,1178143267,577570615.7,2940296364,1945318389,1304897457,538375354.6,2371486777,1153033860,779362014.3,501895480.8,1867442432,1407241416,966226731.9,659473455,2616741740,1963771052,1363798244,773929698.8,1943903415,1607783908,1247457873,767803034.7,1546575219,1252558325,613841484.9,392432147.2,1126701940,697974762.2,443297147.1,215422597.8,827128112.7,639785551.3,361313487.9,182525044.4,771463605.2,579195315.1,378227302,194020050.6,579124473.2,437420881.1,298472484.8,195531279.7,465962448.9,281714970.1,215182151,139542111.6,480906660.4,372820777.5,250470447.9,164970351.3,547306251.5,647975575.6,265334389.6,263574681.8,518970212,339806043.2,262179631.8,149679880.5,412164421.8,264761095.2,153449308.1,92454339.64,409868382.9,181173450.1,414169511.5,86280877.69,160874304.5,0
经营活动现金流出小计,40460542583,25527068762,61841782677,47919146036,33967653238,17314940499,54233824522,42132401364,34164742031,22261814559,47960400992,40805313153,21609623724,13466683048,45216426428,29715589991,20918691991,11825676049,29827895991,21291138626,14470232516,9292195225,22577566708,16127589639,11612844301,7247195660,22855327241,16438808502,11670900527,7050142015,24058100141,16695367359,10257546480,5586604961,17378728264,12532545357,8267545503,4595085611,13692240805,9094604052,6295162309,3191304445,8875483081,6838724510,4646047146,2297127669,7718194685,5488740863,3754156176,2094566838,6270097925,4549157082,3264581553,1737495860,5790135752,3801819699,2748189786,1617330433,4077199039,2993798541,2179488456,1390275481,3349605996,2453574931,1655261577,1027305231,2841523833,2122623282,1511762616,1014647766,2242408695,1672297798,1195772788,620027343.5,1893701546,1211416408,1804343609,86280877.69,887575829.7,0
经营活动产生的现金流量净额,21719470733,-1484892859,51669068693,25111002820,12620963440,2303109388,45210612633,27315401962,24086920146,1189210085,41385234407,28221285916,17735030962,4935500707,22153036084,22786767198,6935360410,6108975097,37451249647,32535332632,13603962284,7436044335,17436340142,11423393327,4901688343,2111633649,12632522437,7679397244,4288743349,173915705.7,12655024862,9245117959,5215024507,790228914.3,11921310609,7561565325,4459709495,1339501000,10148564690,9026937978,5327897835,3411131920,6201476520,3964406934,1766383111,824771903.7,4223937144,2077542093,548187840.4,-130764695.3,5247488536,3068605688,1495681407,992687156,1743303211,1548259235,685813057.6,380543066.1,2105171034,1490129274,594871612.9,222204247.8,1693707488,883720092.3,436604511.3,242281053.1,975784480.2,372675167.5,-37984534.13,-181383371.9,941706242.1,439378658.5,-33965937.28,9112186.67,434582378.7,-180120845.1,42283037.35,-86280877.69,443124645.7,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,0,0,314906521.5,314906521.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60050000,60000000,10000000,10000000,5000000,0,0,0,0,0,0,0,10000000,10000000,10000000,10000000,0,0,0,0,17000000,17000000,17000000,17000000,25000000,25000000,25000000,0,21000000,21000000,21000000,21000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3869172.05,3868919.86,3342169.86,332169.86,3095265.75,3010000,3010000,0,3010000,3010000,3010000,0,4129000,4129000,4129000,1119000,3010000,3010000,3010000,0,1731400,1731400,1731400,1728900,2080397.26,2080397.26,2080397.26,0,2123100,2123100,2123100,2123100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,495904.85,0,0,0,38080,0,0,0,0,0,0,0,16450,16450,0,0,92084.5,75180,73845,117322,8772937.39,1280,0,0,10226939.39,1047680,1047680,173418,0,0,0,0,79000,0,0,0,41600,40000,40000,40000,0,0,0,2500,0,0,0,0,50000,50000,0,0,0,0,0,0,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到的其他与投资活动有关的现金,69900,69900,6675319.03,0,0,0,7321070.4,7321070.4,4077739,613975,11244181.3,8410531.3,815707,150230,21430672.95,18116011.35,17435431.35,13335955.06,5562351.19,5447356,3956396.91,2153315.11,33357886.05,31502649.24,26440236,5093183.24,106726852,105002717,105002717,88428717,756386234.6,640634221.6,542368132,408123249.5,340299568,187026157.1,146581293.5,0,212533826.8,74601849.82,67947203.27,11199977.29,56315726.51,56662329.2,54180223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投资活动现金流入小计,69900,69900,322077745.4,314906521.5,0,0,7359150.4,7321070.4,4077739,613975,11244181.3,8410531.3,815707,150230,21447122.95,18132461.35,17435431.35,13335955.06,5654435.69,5522536,4030241.91,2270637.11,106049995.5,95372849.1,39782405.86,15425353.1,125049057.1,109060397,109060397,88602135,759396234.6,643644221.6,545378132,408123249.5,354507568,201155157.1,160710293.5,11119000,215585426.8,77651849.82,70997203.27,11239977.29,75047126.51,75393729.2,72911623,18731400,27080397.26,27080397.26,27080397.26,0,23173100,23173100,23123100,23123100,0,0,0,0,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
