报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
支付的其他与经营活动有关的现金,331429981.7,111766701.3,648555394.5,359351917.8,172470290.3,41727490.76,959015786.1,673586278.7,355512290.4,158713666,729689174.6,566007561.6,392803927,198096578.4,452799080.7,304538458.7,171934687.6,71290998.77,191580853.7,123611810.1,66343214.5,27507957.01,126913749.3,93885236.43,67079086.29,28231599.77,135575125.3,114858421.9,95889948.11,55972016.22,297861825,246540653.8,163380162.1,82112109.64,373257728.7,255288444.6,178128945.5,93077770.87,287426777,181419425.5,82783119.39,54035385.33,213365050.4,163631259.6,110874684.6,56967879.05,205554714.9,119311313.2,73942128.52,54585707.46,255978435.4,180572581.2,76215602.73,42909037.47,104845836.9,154724737.8,76002971.3,40524523.41,93414412.78,205140890.4,121483690.1,47550766.51,87042526.87,119067627.4,77810738.13,5175173.98,128959826.5,144188549.4,91202615.1,12454774.19,169387421.3,157981560,90973264.03,39253829.58,106194192.3,53227667.13,126422779,64414359.65,90557997.23,16779937.29,78532232.02,60859759.33,3909538.55,2999967.58,0
经营活动现金流出小计,1650760028,768251337.5,2814589535,1673887856,1132535948,702289623.4,3237979212,2327761477,1416421539,767871318.6,2767378018,2194405270,1494878297,873011281,1900847115,1334159056,860300943.8,359172114,930367728.3,583554929.1,383826779.5,200142940.4,600709900.8,454085140.7,331380505.8,160398578,538485551.6,409373996.4,290722837.4,166589002,918943428.9,760216215.7,566530735.5,306352532.6,1546989660,1115856330,856271630.9,496006941.3,1354226951,997066871,615517052.2,406580411.9,1335269586,1079408850,801364939.2,444897141.8,1237664007,906379503.5,623918689.4,354687977.3,1248787829,976489576.4,724423377.1,430259633.7,919060206.6,720512319,457685709.1,244191681.6,836745944,635392420.2,438397510.4,225242658.4,566032916.5,487488586,364904151,157793694.7,900050499.7,651350068.6,415464683.9,248759438.3,937854982.6,838109797.7,621483711.8,325560483.4,1327157416,575151475.3,1236723747,788864165.2,1308945159,691330303.3,1257098104,519777695.1,347129192.6,200559396.4,0
经营活动产生的现金流量净额,278092698.6,612226647.8,845323777.5,755300615.8,-202034717.8,81223967.49,867736037.8,719246992.3,504349294.1,246356487.4,431092605.1,146565382.4,-11920977.19,-93137890.98,611431360.3,369467462.7,107082310.4,168641977.6,381909847.8,263025752.8,87909567.77,75282281.42,234037092.8,173346380.6,35573805.97,112072623.6,-105887184.1,-90875920.18,-94953543.78,-61978440.25,-440726117.6,-389343962.8,-271886747.2,-68020709.94,62583789.25,141188699.8,53946912.86,11165789.95,472420754.1,208793790.2,147842760.3,34725957.73,-37362145.95,-150181807.8,-95314663.17,475553.11,613866424.6,575033558.2,313571275.3,62257334.84,25397583.38,46925382.18,-75214867.18,60654772.77,594915747.6,277448411.6,164455528.5,173583343.1,137027688.6,-8635514.56,-74079756.78,-28723040.3,86984270.56,-51187428.23,-71366837.07,17128650.87,149570827.1,-73521269.91,-50683448.61,13033586.22,170429381.5,48072287.61,132933490.9,42293067.46,131026508.1,-9480502.79,113873005.4,84025246,139930476.2,91898120.42,151211790.8,-36408387.38,45265782.44,-15376660.38,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,0,0,0,0,0,0,442000,442000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157462.85,0,0,2495000,17279580,0,17279580,2454265.85,2454265.85,2454265.85,0,48000000,48000000,48000000,48000000,23880000,23880000,23880000,23880000,7620000,0,0,0,151500000,0,0,0,56929602.09,38754250.82,38450503.13,0,107980523.1,219102988.4,172332988.4,0,48342.19,0,0,0,136801721.9,88460000,0,0,0,0,0,0,1125000,0,125000,0,1397550.18,0,125000,0,23293300,0,0
取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850000,1850000,1850000,0,0,0,0,0,0,0,0,0,9500000,9500000,3500000,0,14700000,5000000,0,0,0,0,0,0,551569.95,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,42676.66,17700,294128.66,0,0,0,183127.54,0,1151214.76,0,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,2982.75,0,0,0,0,0,765019.12,0,0,0,46500.41,46500.41,0,0,445315,1210315,445315,215,41043613.3,41000955.5,-44262,-46257,29505186.15,25588862.89,121920.89,116600,1729382.13,3532497.42,3461132.42,2256555.39,17343152.3,60953.11,17340533.11,0,1874590.85,120881.54,120881.54,11499.19,29800,72222.31,70422.31,28000,57124,50200,10200,0,469740,441340,322500,98500,66000,42850,15000,15000,187955.67,116355.67,0,11700057.82,8000,14000,0,0,1410476.4,1407776.4,113200,0,5101371.27,664602.57,484027.08,2107190.12,214726.26,41020,6000,6000,1214623.4,260500,30301.26,10551.26,16078.67,0,112654.17,4000,165701,20300,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223201821.8,223688601.8,223201821.8,0,0,0,0,0,0,0,0,0,61702463.7,41828500,0,41828500,0,0,0,0,0,0,0,0,8989061.8,9658657.42,9911128.3,4884103.13,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,1300000,1300000,800000,224349583.3,224349583.3,0,0,0,0,0,0,8741520.57,0,0,0,0,0,0,0,50000,230000,50000,135210100,3273272.59,465132.03,0,87000,3772825.65,1264662.95,331681.9,14416,0,19256400.64,60599965.48,677791.35,15376056.47,2537738.19,1402925.52,733650.24,7409122.81,5265257.3,3850715.76,2249980.81,8592251.82,5829481.69,4144194.33,37035704.76,5619572.3,6387895.93,5866859.36,27125527.89,45714715.03,1725503.53,1291068.54,13036050.46,4337833.2,1182297.06,994877.55,377611.79,5374691.18,851413.26,2928335.16,0,20042159.84,1199758.93,3893663.52,1211620.46,7014963.53,556306.99,3384925.08,590940.35,630000,16055.79,0
投资活动现金流入小计,2982.75,0,0,0,0,0,1207019.12,442000,0,0,46500.41,1346500.41,1300000,800000,224794898.3,225559898.3,445315,215,41043613.3,41000955.5,-44262,-46257,38246706.72,25588862.89,121920.89,116600,1729382.13,3689960.27,3461132.42,2256555.39,243089974.1,241259134.9,240592354.9,152489680,9452129.29,4890279.42,4425147.39,98499.19,51802625.65,49336885.26,48402104.21,48042416,85639587.7,85015100.64,84490165.48,66386291.35,32965796.47,12479078.19,5225425.52,832150.24,173675122.8,10308107.3,3865715.76,2264980.81,74698871.38,54358745.6,52505825.76,53619865.71,114369665.4,225504884.3,178199847.7,27125527.89,53173533.62,3133279.93,1404268.54,13036050.46,146240926.3,90306899.63,1478904.63,2484801.91,5589417.44,892433.26,2934335.16,6000,22424459.9,1477958.93,4343093.44,1222171.72,8428592.38,556306.99,3805706.79,594940.35,25240215.76,36355.79,0
