报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
经营活动现金流出小计,6689570310,17922182613,14462836283,10984288343,6551284674,21620261811,17600416291,13759615377,8230760483,20542065300,16977409303,12829009848,7022896454,17255852966,13970116635,10024019806,5620547074,15585512758,11508092908,8560437620,5026515630,14068473200,10969567419,7424583490,4568230662,14377320716,11132299163,7510306004,4071711171,14718551004,10245156963,7027951631,4927057268,15153796242,11653908605,8397890231,4341210373,12813631662,8948873667,5867043133,2784747855,6625713777,4590237482,3081765825,1493759287,3593610132,2386129285,1310674323,853531538.6,3242651131,1849592984,1740937029,1129674365,0
经营活动产生的现金流量净额,2919559011,3978790836,-444052491.1,-2733382899,-328870647.7,6797891871,1719384684,-510063762.4,122965637.5,9056748816,5874472625,1658765767,1891759703,6883169799,4289386144,876333467.9,1170374437,7405044601,5510458608,2843948212,2516108669,5836355329,4759170726,2903235938,2597805567,2711804132,3031820201,1299561661,1563058019,3180013940,3789435725,2432925089,2015391124,5499699623,5251499748,2853097621,2940194253,5557084503,3867869087,1962137814,1054603660,3839746227,2358682472,1196671047,837190527.4,1428351767,1682839673,1246675735,704440739.7,664903883.2,560679291.5,477162163.5,136432512,0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,4313380924,29694068688,27130576601,21926305071,9127831293,39845997676,31910306364,23778913522,10361425790,34357728482,22303041683,16867255600,8437669768,30400345559,19869450892,9335040014,4051042966,8035647871,13759898557,10225637966,2268900000,3110449431,2135550000,1704695024,771222070.9,5575192426,984050023.2,650330088.2,250155184.1,3419172514,2518825309,2518066813,1530004678,5922737577,5000000,0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,500000,0,0,0,0
取得投资收益所收到的现金,158494935,1202721026,901042176.8,676940324.3,311884934.4,828033083.7,594932105.3,409220586.8,153490961.1,859477665.9,623067051.8,384802904.7,162823805.5,564117891.3,319941092,134346717.2,48379094.75,422339653.1,270282423.3,148430504.1,81744230.38,129803811.3,157006950.5,13667998.69,0,26249070.22,12054871.4,11530334.84,995551.89,18667583.37,18667583.37,14810440.26,0,341799,109827186.3,57683778.9,22239511.41,11792714.35,889041.1,0,0,0,317.81,0,0,746301.38,745458.12,727123.28,0,741666.67,660000,3811565,18000,0
处置固定资产、无形资产和其他长期资产所收回的现金净额,718498.37,210268.97,44660.2,44660.2,0,24075082.94,30329598.68,5252908,5382363.61,45125913.95,14831351.88,2954264.71,2349543,608832.88,578193.34,567381.96,128933.09,7726084.69,1665769.29,40375.16,39089.66,4429600.9,635730,635730,634191.54,2719195.49,2650908.14,2650908.14,2065917.72,11029333.12,4954967.14,2509610.91,64300,1777997.4,879448.81,879448.81,0,4534484.8,1611390,1611390,1571000,3093145.26,1049046.6,826960,671460,1216020.06,1107920.06,724517.43,90200,637893,463460,1188759,551200,0
处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4586709.1,4586709.1,4586709.1,4586709.1,0,0,0,0,1965088.93,1246174.8,1246174.8,0,5339456.99,1471267.45,1471267.45,0,546796.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,5116000,5116000,5116000,0,0,0,0,0,52092900,52092900,15000000,0,57060000,52950000,52950000,22926250,14504000,0,0,0,0,0,0,0,0,0,0,0,224394.99,0,0,0,0,0,0,0,0,0,0,0,0
投资活动现金流入小计,4472594358,30896999983,28031663438,22603290056,9439716227,40698105842,32535568068,24193387017,10520299115,35262332061,22940940086,17255012770,8602843116,30970188283,20195086178,9475070113,4099550994,8465713609,14031846749,10374108845,2350683320,3301362453,2349872290,1738585462,776442971.5,5661220692,1051705803,717461331.2,276142903.7,3465338520,2543694034,2536633039,1530068978,5930196830,117177902.5,60034495.16,22239511.41,16873995.4,2500431.1,1611390,1571000,3317540.25,1049364.41,826960,671460,51962321.44,1853378.18,1451640.71,90200,1879559.67,1123460,5000324,569200,0
购建固定资产、无形资产和其他长期资产所支付的现金,56003853.86,353104399.7,233158217.7,151291167.2,81678035.19,317159366.3,202604173.4,115765400.4,64023802.74,471045188.6,379481768.2,306225523.3,94504511.46,325345429.4,210522068.7,166365279,92734436.6,480211104.6,381805323.4,359356527.4,191777901.1,719529163.9,621392958.4,482940474.5,362497836.5,1786518033,1399580862,1031502547,788694291.9,2677780456,2273803851,1664235670,1093587779,3373383754,2215712497,1325485378,540170508.3,1934081471,1354624487,877674463.5,434282439.7,775961789,504709982.3,357078625.7,258791840.6,215061386.1,169244123,131820159,68024252.46,155955069.8,104540512.9,80758950.24,24745506.69,0
