,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0.769336979,Optimal,0.999999998,Optimal,0.769336981
20201231,1.425448598,Optimal,1,Optimal,1.425448598
20200930,1.231691966,Optimal,0.999999983,Optimal,1.231691987
20200630,1.039845757,Optimal,1.000000004,Optimal,1.039845753
20200331,0.726590364,Optimal,1.000000005,Optimal,0.72659036
20191231,1.352569553,Optimal,0.986530591,Optimal,1.371036606
20190930,1.158673718,Optimal,0.943363556,Optimal,1.228236676
20190630,0.968182713,Optimal,0.913997244,Optimal,1.059284061
20190331,0.689804673,Optimal,0.906153097,Optimal,0.761245175
20181231,1.281084116,Optimal,0.945959436,Optimal,1.354269609
20180930,1.071826616,Optimal,0.875284763,Optimal,1.224546183
20180630,0.822881848,Optimal,0.839816244,Optimal,0.979835593
20180331,0.623960373,Optimal,0.804256192,Optimal,0.775822902
20171231,1.130712997,Optimal,0.869431826,Optimal,1.300519447
20170930,0.927198268,Optimal,0.823707013,Optimal,1.125640856
20170630,0.72328129,Optimal,0.786547809,Optimal,0.919564307
20170331,0.532982741,Optimal,0.714289279,Optimal,0.746172113
20161231,0.894890388,Optimal,0.758547346,Optimal,1.179742298
20160930,0.747843665,Optimal,0.72080591,Optimal,1.037510451
20160630,0.604329388,Optimal,0.70515436,Optimal,0.857017161
20160331,0.475389373,Optimal,0.593670468,Optimal,0.800763047
20151231,0.952356169,Optimal,0.823032092,Optimal,1.157131269
20150930,0.836602899,Optimal,0.798064245,Optimal,1.048290165
20150630,0.641917469,Optimal,0.616215061,Optimal,1.041710127
20150331,0.455275695,Optimal,0.567089143,Optimal,0.80282915
20141231,0.993273301,Optimal,0.99999999,Optimal,0.993273312
20140930,0.917562736,Optimal,0.810642892,Optimal,1.131895124
20140630,0.833989966,Optimal,0.766911136,Optimal,1.087466236
20140331,0.568595783,Optimal,0.820278416,Optimal,0.693174136
20131231,1.403915787,Optimal,0.999999989,Optimal,1.403915804
20130930,1.390612921,Optimal,0.999999999,Optimal,1.390612923
20130630,1.164940179,Optimal,0.968052336,Optimal,1.203385536
20130331,0.790210758,Optimal,1.000000008,Optimal,0.790210751
20121231,1.705043406,Optimal,1.000000003,Optimal,1.705043401
20120930,1.524002617,Optimal,0.982822109,Optimal,1.55063933
20120630,1.091926889,Optimal,0.791017167,Optimal,1.380408586
20120331,0.760722019,Optimal,0.762741637,Optimal,0.997352161
20111231,1.263619994,Optimal,0.897502409,Optimal,1.407929362
20110930,1.152869145,Optimal,0.784872653,Optimal,1.468861401
20110630,0.910947888,Optimal,0.656374297,Optimal,1.387848202
20110331,0.645896268,Optimal,0.572396663,Optimal,1.128406767
20101231,1.150918846,Optimal,0.860253534,Optimal,1.337883311
20100930,1.094057734,Optimal,0.758575152,Optimal,1.442253586
20100630,0.844575706,Optimal,0.563006014,Optimal,1.500118445
20100331,0.644206218,Optimal,0.519697875,Optimal,1.239578319
20091231,1.220633958,Optimal,0.837301466,Optimal,1.457818967
20090930,1.000000007,Optimal,0.683324736,Optimal,1.463433057
20090630,0.993948696,Optimal,0.550383923,Optimal,1.80591884
20090331,0.811034856,Optimal,0.610386695,Optimal,1.328723026
20081231,0.974185028,Optimal,0.940513906,Optimal,1.03580077
20080930,0.883844298,Optimal,0.790096591,Optimal,1.118653476
20080630,0.842544995,Optimal,0.643979434,Optimal,1.308341463
20080331,0.727847215,Optimal,0.52232437,Optimal,1.393477419
20071231,0.881654939,Optimal,0.955745457,Optimal,0.922478818
20070930,0.791458237,Optimal,0.747840547,Optimal,1.058324853
20070630,0.795445795,Optimal,0.581165561,Optimal,1.368707728
20070331,0.567845774,Optimal,0.431711141,Optimal,1.315337317
20061231,0.760147699,Optimal,0.999999978,Optimal,0.760147715
20060930,0.656238566,Optimal,0.820553503,Optimal,0.7997511
20060630,0.607226992,Optimal,0.623404723,Optimal,0.974049394
20060331,0.448608647,Optimal,0.392681855,Optimal,1.142422653
