,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0.0,Optimal,0.9999999964933588,Optimal,0.0
20201231,0.0,Optimal,0.9999999724166527,Optimal,0.0
20200930,0.0,Optimal,1.0281814683454242,Optimal,0.0
20200630,0.0,Optimal,0.9912496811367717,Optimal,0.0
20200331,0.0,Optimal,0.9812045228813275,Optimal,0.0
20191231,0.0,Optimal,1.0000000011975687,Optimal,0.0
20190930,0.0,Optimal,0.973608822341781,Optimal,0.0
20190630,0.0,Optimal,0.8808350840892009,Optimal,0.0
20190331,0.0,Optimal,0.9725284983524543,Optimal,0.0
20181231,0.0,Optimal,1.0784079410335001,Optimal,0.0
20180930,0.0,Optimal,0.9196176267882386,Optimal,0.0
20180630,0.0,Optimal,0.8599052414706316,Optimal,0.0
20180331,0.0,Optimal,0.9078395071650305,Optimal,0.0
20171231,0.0,Optimal,0.852042937491724,Optimal,0.0
20170930,0.0,Optimal,0.8475803003424698,Optimal,0.0
20170630,0.0,Optimal,0.8064060887086746,Optimal,0.0
20170331,0.0,Optimal,0.7546381957654047,Optimal,0.0
20161231,0.0,Optimal,0.7982455911168356,Optimal,0.0
20160930,0.0,Optimal,0.7724181381822942,Optimal,0.0
20160630,0.0,Optimal,0.677784695093425,Optimal,0.0
20160331,0.0,Optimal,0.5517464395938338,Optimal,0.0
20151231,0.0,Optimal,0.771265375284002,Optimal,0.0
20150930,0.0,Optimal,0.7116770344261965,Optimal,0.0
20150630,0.0,Optimal,0.6410377799272876,Optimal,0.0
20150331,0.0,Optimal,0.5183707973345762,Optimal,0.0
20141231,0.0,Optimal,0.7481466638043432,Optimal,0.0
20140930,0.0,Optimal,0.7227632583897837,Optimal,0.0
20140630,0.0,Optimal,0.6858014352942765,Optimal,0.0
20140331,0.0,Optimal,0.6061969171552637,Optimal,0.0
20131231,0.0,Optimal,0.9999999719812891,Optimal,0.0
20130930,0.0,Optimal,0.999999993253919,Optimal,0.0
20130630,0.0,Optimal,0.9503734272255611,Optimal,0.0
20130331,0.0,Optimal,0.9227293758645145,Optimal,0.0
20121231,0.0,Optimal,0.9999999793819098,Optimal,0.0
