,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0,Optimal,1.000000036,Optimal,0
20201231,0,Optimal,0.999999992,Optimal,0
20200930,0,Optimal,1,Optimal,0
20200630,0,Optimal,0.96526362,Optimal,0
20200331,0,Optimal,0.741427391,Optimal,0
20191231,0,Optimal,0.999999999,Optimal,0
20190930,0,Optimal,1.000000016,Optimal,0
20190630,0,Optimal,1.087195126,Optimal,0
20190331,0,Optimal,0.774024178,Optimal,0
20181231,0,Optimal,0.960426728,Optimal,0
20180930,0,Optimal,0.988183445,Optimal,0
20180630,0,Optimal,1.000805164,Optimal,0
20180331,0,Optimal,0.553249993,Optimal,0
20171231,0,Optimal,0.840933408,Optimal,0
20170930,0,Optimal,0.789225052,Optimal,0
20170630,0,Optimal,0.806450719,Optimal,0
20170331,0,Optimal,0.274098845,Optimal,0
20161231,0,Optimal,0.748476241,Optimal,0
20160930,0,Optimal,0.683631638,Optimal,0
20160630,0,Optimal,0.58179102,Optimal,0
20160331,0,Optimal,3.24E-09,Optimal,0
20151231,0,Optimal,0.671366534,Optimal,0
20150930,0,Optimal,0.60963718,Optimal,0
20150630,0,Optimal,0.441436409,Optimal,0
20150331,0,Optimal,1.98E-08,Optimal,0
20141231,0,Optimal,0.696377183,Optimal,0
20140930,0,Optimal,0.620703668,Optimal,0
20140630,0,Optimal,0.415291864,Optimal,0
20140331,0,Optimal,2.18E-08,Optimal,0
20131231,0,Optimal,0.738934035,Optimal,0
20121231,0,Optimal,0.546122124,Optimal,0
20111231,0,Optimal,0.355001846,Optimal,0
20130930,0,Optimal,1,Optimal,0
20130630,0,Optimal,1.000000002,Optimal,0
20130331,0,Optimal,1.00E-12,Optimal,0
