,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210630,12.94188145,Optimal,0.894981011,Optimal,14.46050954
20210331,18.86610443,Optimal,1.000000019,Optimal,18.86610408
20201231,20.14117693,Optimal,1.001358795,Optimal,20.11384634
20200930,7.515356144,Optimal,0.966263592,Optimal,7.77774947
20200630,5.309703639,Optimal,0.648572584,Optimal,8.186753142
20200331,12.83126718,Optimal,0.8290114,Optimal,15.47779341
20191231,21.3723158,Optimal,1.000000022,Optimal,21.37231533
20190930,21.01732274,Optimal,0.989147854,Optimal,21.24790814
20190630,13.20303318,Optimal,0.87243507,Optimal,15.13354247
20190331,14.29210565,Optimal,0.833707252,Optimal,17.14283474
20181231,3.075471491,Optimal,1.000000001,Optimal,3.075471487
20180930,2.712723106,Optimal,0.945983798,Optimal,2.867621108
20180630,13.15775296,Optimal,0.864638512,Optimal,15.21763463
20180331,11.34846677,Optimal,0.761952869,Optimal,14.89392222
20171231,13.28654757,Optimal,0.878962186,Optimal,15.11617652
20170930,12.95630888,Optimal,0.845591992,Optimal,15.32217548
20170630,8.593523322,Optimal,0.729205242,Optimal,11.78477996
20170331,11.93400507,Optimal,0.699651798,Optimal,17.05706338
20161231,1.134733595,Optimal,0.83384804,Optimal,1.360839794
20160930,14.77577956,Optimal,0.801895171,Optimal,18.42607375
20160630,1.316324573,Optimal,0.708449881,Optimal,1.858034857
20160331,1.336592217,Optimal,0.784226153,Optimal,1.704345375
20151231,7.669280821,Optimal,0.782252534,Optimal,9.804098404
20150930,8.228050103,Optimal,0.722780483,Optimal,11.38388529
20150630,1.250918004,Optimal,0.712824801,Optimal,1.754874413
20150331,1.038703563,Optimal,0.603620414,Optimal,1.720789324
20141231,1.000000005,Optimal,0.805814761,Optimal,1.240980003
20140930,0.611541904,Optimal,0.373056637,Optimal,1.639273619
20140630,0.476688005,Optimal,0.258802288,Optimal,1.841900275
20140331,0.241591095,Optimal,0.184238111,Optimal,1.311298153
20131231,0.599289144,Optimal,0.472677512,Optimal,1.267860492
20130930,0.561670454,Optimal,0.522597907,Optimal,1.074765986
20130630,1.114778186,Optimal,0.813121631,Optimal,1.37098577
20130331,1.712243902,Optimal,0.913064674,Optimal,1.875271216
20121231,0.999999999,Optimal,0.98934071,Optimal,1.010774133
20120930,26.59028325,Optimal,1.000000015,Optimal,26.59028286
20120630,25.13850249,Optimal,0.985764213,Optimal,25.50153694
20120331,22.99495826,Optimal,0.999999999,Optimal,22.99495829
20111231,1.27152744,Optimal,0.885756867,Optimal,1.435526484
20110930,2.287852372,Optimal,0.866345524,Optimal,2.640808211
20110630,1.131475771,Optimal,0.825024728,Optimal,1.371444677
20110331,1.559711205,Optimal,0.914938689,Optimal,1.704716637
20101231,1.271117206,Optimal,1.000000006,Optimal,1.271117199
20100930,0.757850382,Optimal,0.737163629,Optimal,1.028062635
20100630,0.723799883,Optimal,0.737836358,Optimal,0.980976168
20100331,1.212774442,Optimal,0.714821698,Optimal,1.696611121
20091231,0.992416474,Optimal,0.910560724,Optimal,1.089895982
20090930,0.784692741,Optimal,0.759102592,Optimal,1.033711055
20090630,1.06552171,Optimal,0.678655633,Optimal,1.570047692
20090331,1.980467178,Optimal,1.000000042,Optimal,1.980467095
20081231,1.469036559,Optimal,1.000000001,Optimal,1.469036558
20080930,1.472788503,Optimal,0.993879425,Optimal,1.481858329
20080630,1.311144182,Optimal,0.865728898,Optimal,1.514497419
20080331,1.370281742,Optimal,0.727053009,Optimal,1.884706789
20071231,1.085177954,Optimal,1,Optimal,1.085177955
20070930,0.941805046,Optimal,0.909246794,Optimal,1.035807937
20070630,0.97106451,Optimal,0.818351425,Optimal,1.186610643
20070331,0.85611877,Optimal,0.61696581,Optimal,1.387627573
20061231,0.8587159,Optimal,0.825001066,Optimal,1.040866412
20060930,0.67939641,Optimal,0.691640693,Optimal,0.982296758
20060630,0.564178715,Optimal,0.566438034,Optimal,0.996011357
20060331,0.795269581,Optimal,0.475211871,Optimal,1.673505291
20051231,0.784199169,Optimal,0.747852066,Optimal,1.048601997
20050930,0.693291133,Optimal,0.647335107,Optimal,1.070992637
20050630,0.610449952,Optimal,0.573636084,Optimal,1.064176346
20050331,0.714028777,Optimal,0.48370101,Optimal,1.476177975
20041231,0.819009735,Optimal,0.789149586,Optimal,1.03783839
20040930,0.693276604,Optimal,0.675842573,Optimal,1.025795994
20040630,0.474870459,Optimal,0.497517751,Optimal,0.95447943
20040331,0.373204416,Optimal,0.391784002,Optimal,0.952576966
20031231,0.689786241,Optimal,0.553991183,Optimal,1.245121335
20030930,0.594298982,Optimal,0.492840422,Optimal,1.20586493
20030630,0.524207034,Optimal,0.473266474,Optimal,1.107636105
20030331,0.389513351,Optimal,0.438551546,Optimal,0.888181456
20021231,0.660899158,Optimal,0.669169247,Optimal,0.98764126
20020930,1.439769355,Optimal,0.625885553,Optimal,2.300371605
20020630,0.541158596,Optimal,0.594070973,Optimal,0.910932566
20020331,2.453500403,Optimal,0.478280373,Optimal,5.129837098
20011231,0.782934277,Optimal,0.734512825,Optimal,1.065923221
20010630,0.837875814,Optimal,0.732167874,Optimal,1.144376643
20001231,1.021462758,Optimal,0.841899253,Optimal,1.21328384
20000630,0.796524994,Optimal,0.743793868,Optimal,1.07089481
19991231,1.860457572,Optimal,0.925717347,Optimal,2.009746905
19990630,1.05466437,Optimal,0.76852885,Optimal,1.372315913
19981231,0.750224922,Optimal,0.691518859,Optimal,1.084894377
19980630,0.50889407,Optimal,0.477416729,Optimal,1.065932631
19971231,1.731616382,Optimal,0.712435792,Optimal,2.430557814
19970630,0.999999993,Optimal,1.000000002,Optimal,0.999999991
19961231,1.130817567,Optimal,0.752572667,Optimal,1.502602494
19951231,1.000000004,Optimal,1.000000012,Optimal,0.999999993
19941231,1.190749837,Optimal,0.846309517,Optimal,1.406990957
19931231,1.00000001,Optimal,0.914896425,Optimal,1.093019912
