,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,1.627066977,Optimal,0.909068829,Optimal,1.789817145
20201231,0.737691746,Optimal,0.999999974,Optimal,0.737691765
20200930,0.631626914,Optimal,1.000000019,Optimal,0.631626902
20200630,0.393166103,Optimal,0.929844476,Optimal,0.422829961
20200331,0.256995729,Optimal,0.999999997,Optimal,0.25699573
20191231,0.901544483,Optimal,0.999999998,Optimal,0.901544485
20190930,0.82542312,Optimal,0.999999981,Optimal,0.825423135
20190630,0.658054788,Optimal,0.994674294,Optimal,0.661578159
20190331,0.351829154,Optimal,0.999999979,Optimal,0.351829162
20181231,0.738711448,Optimal,0.985737197,Optimal,0.749399993
20180930,0.54320425,Optimal,0.949177032,Optimal,0.572289711
20180630,0.473107396,Optimal,0.931021212,Optimal,0.508159631
20180331,0.318593514,Optimal,0.999999981,Optimal,0.31859352
20171231,0.697261405,Optimal,0.912505745,Optimal,0.764117277
20170930,0.549239311,Optimal,0.853321815,Optimal,0.643648506
20170630,0.417910108,Optimal,0.816368183,Optimal,0.511913763
20170331,0.251719703,Optimal,0.799689504,Optimal,0.314771798
20161231,0.999999996,Optimal,0.903690816,Optimal,1.106573154
20160930,0.512401109,Optimal,0.802777509,Optimal,0.638285332
20160630,0.376015684,Optimal,0.779567197,Optimal,0.482339029
20160331,0.262461559,Optimal,0.701206301,Optimal,0.374300058
20151231,0.718474573,Optimal,0.943452573,Optimal,0.761537563
20150930,0.565953221,Optimal,0.781920538,Optimal,0.723798895
20150630,0.418064571,Optimal,0.735381972,Optimal,0.568499892
20150331,0.278443317,Optimal,0.638231689,Optimal,0.436273099
20141231,0.68568838,Optimal,0.923895198,Optimal,0.74217117
20140930,0.572841849,Optimal,0.76135221,Optimal,0.752400586
20140630,0.453461577,Optimal,0.6970807,Optimal,0.65051518
20140331,0.29065379,Optimal,0.574822327,Optimal,0.505641094
20131231,0.725637801,Optimal,0.999999987,Optimal,0.725637811
20130930,0.611224133,Optimal,0.802569698,Optimal,0.761583866
20130630,0.508311394,Optimal,0.71562878,Optimal,0.71030038
20130331,0.325763641,Optimal,0.626925876,Optimal,0.519620666
