,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0.643877048,Optimal,0.933314549,Optimal,0.68988215
20201231,0.831979832,Optimal,0.999999997,Optimal,0.831979835
20200930,1.053476126,Optimal,1.000000003,Optimal,1.053476122
20200630,0.797292505,Optimal,1.000000022,Optimal,0.797292487
20200331,0.748467263,Optimal,1.000000001,Optimal,0.748467263
20191231,0.816652367,Optimal,0.99999999,Optimal,0.816652375
20190930,0.777633414,Optimal,0.861944868,Optimal,0.902184633
20190630,0.758638429,Optimal,0.836456774,Optimal,0.906966687
20190331,0.740568877,Optimal,0.821058315,Optimal,0.901968671
20181231,0.860807122,Optimal,1.000000026,Optimal,0.8608071
20180930,1.000976862,Optimal,0.903780436,Optimal,1.107544291
20180630,0.717934988,Optimal,0.81449355,Optimal,0.881449569
20180331,0.672012989,Optimal,0.7554755,Optimal,0.889523207
20171231,0.817333327,Optimal,0.799302088,Optimal,1.022558729
20170930,0.768557599,Optimal,0.830690689,Optimal,0.925203098
20170630,0.726246835,Optimal,0.811220653,Optimal,0.895251905
20170331,0.50835851,Optimal,0.726596131,Optimal,0.699643844
20161231,0.861506041,Optimal,0.861506041,Optimal,1
20160930,0.818640964,Optimal,0.782295,Optimal,1.046460688
20160630,0.639988656,Optimal,0.722125548,Optimal,0.88625677
20160331,0.583534594,Optimal,0.664117178,Optimal,0.878662099
20151231,0.734537299,Optimal,0.730769331,Optimal,1.005156167
20150930,0.786216241,Optimal,0.742027733,Optimal,1.059551021
20150630,0.531004942,Optimal,0.648659601,Optimal,0.818618797
20150331,0.454870113,Optimal,0.588433771,Optimal,0.773018367
20141231,0.696698569,Optimal,0.639195369,Optimal,1.089961853
20140930,0.850912436,Optimal,0.768453133,Optimal,1.107305572
20140630,0.505848618,Optimal,0.690202601,Optimal,0.732898742
20140331,0.531911809,Optimal,0.60969423,Optimal,0.872423884
20131231,1.000000021,Optimal,1.000000002,Optimal,1.000000019
20130930,1.019979379,Optimal,0.948478443,Optimal,1.075384882
20130630,0.800652319,Optimal,0.863236836,Optimal,0.927500179
20130331,0.741311531,Optimal,0.845527764,Optimal,0.876744162
20121231,1.284268217,Optimal,0.99999998,Optimal,1.284268242
20120930,1.405033477,Optimal,0.986126322,Optimal,1.424800702
20120630,1.048557356,Optimal,0.96534263,Optimal,1.08620227
20120331,0.845884598,Optimal,0.93948246,Optimal,0.900372955
20111231,1.1388703,Optimal,0.960523922,Optimal,1.185676144
20110930,1.233380947,Optimal,0.953764652,Optimal,1.293171167
20110630,0.982653068,Optimal,0.903955853,Optimal,1.087058692
20110331,0.9837391,Optimal,0.944903829,Optimal,1.041099708
20101231,1.343699345,Optimal,1.000000003,Optimal,1.343699341
20100930,1.118572427,Optimal,0.987617047,Optimal,1.132597326
20100630,0.983672527,Optimal,0.910066718,Optimal,1.080879574
20100331,1.123725592,Optimal,1.00078652,Optimal,1.122842453
20091231,1.067527231,Optimal,0.99999999,Optimal,1.067527242
20090930,1.025257956,Optimal,0.859257705,Optimal,1.193190297
20090630,0.726232553,Optimal,0.741489895,Optimal,0.979423398
20090331,0.862268358,Optimal,0.689324287,Optimal,1.250889276
20081231,0.989783041,Optimal,0.95758137,Optimal,1.033628131
20080930,0.983321702,Optimal,0.901173637,Optimal,1.091156756
20080630,0.886028151,Optimal,0.78306116,Optimal,1.13149291
20080331,0.926465546,Optimal,0.714972247,Optimal,1.295806306
20071231,0.823276352,Optimal,0.82906157,Optimal,0.993021968
20070930,0.64760782,Optimal,0.650018476,Optimal,0.996291403
20070630,0.553366073,Optimal,0.555145883,Optimal,0.996793978
20070331,0.336784381,Optimal,0.34335606,Optimal,0.980860453
20061231,0.737813801,Optimal,0.715723067,Optimal,1.030864918
20060930,0.686131124,Optimal,0.671014105,Optimal,1.022528615
20060630,0.546929335,Optimal,0.548777472,Optimal,0.996632265
20060331,0.371421489,Optimal,0.371745212,Optimal,0.999129182
20051231,0.668939919,Optimal,0.668750293,Optimal,1.000283552
20050930,0.599387027,Optimal,0.589255932,Optimal,1.01719303
20050630,0.455974817,Optimal,0.457452261,Optimal,0.996770277
20050331,0.312427469,Optimal,0.312427469,Optimal,1
20041231,0.642706004,Optimal,0.63362026,Optimal,1.014339415
20040930,0.541254751,Optimal,0.534967175,Optimal,1.011753198
20040630,0.423828323,Optimal,0.425196675,Optimal,0.996781836
20040331,0.262577553,Optimal,0.26303967,Optimal,0.998243165
20031231,0.581947988,Optimal,0.580849841,Optimal,1.001890587
20030930,0.44279412,Optimal,0.444296112,Optimal,0.996619389
20030630,0.340161046,Optimal,0.3410025,Optimal,0.997532411
20030331,0.234865552,Optimal,0.235223709,Optimal,0.998477376
20021231,0.557294194,Optimal,0.557300795,Optimal,0.999988156
20020930,0.514132829,Optimal,0.494212168,Optimal,1.040307914
20020630,0.388752471,Optimal,0.388752471,Optimal,1
20020331,0.287567909,Optimal,0.261788611,Optimal,1.098473718
20011231,0.605507449,Optimal,0.604078844,Optimal,1.002364932
20010630,0.378797278,Optimal,0.378797278,Optimal,1
20001231,0.64592339,Optimal,0.63666537,Optimal,1.014541422
20000630,0.413767477,Optimal,0.40667689,Optimal,1.017435431
19991231,0.710989642,Optimal,0.698570597,Optimal,1.017777795
19990630,0.529101637,Optimal,0.480769916,Optimal,1.100529836
19981231,0.671122686,Optimal,0.654424364,Optimal,1.025516047
19980630,0.421866335,Optimal,0.355947232,Optimal,1.185193472
19971231,0.959973714,Optimal,0.949817883,Optimal,1.010692398
19970630,1.653319076,Optimal,0.999999789,Optimal,1.653319425
19961231,0.999999997,Optimal,0.999999968,Optimal,1.00000003
19960630,1.932554723,Optimal,0.999999981,Optimal,1.932554759
19951231,1.028122979,Optimal,0.982277809,Optimal,1.046672306
19950630,2.320691071,Optimal,0.999999998,Optimal,2.320691075
19941231,0.612171568,Optimal,0.583727472,Optimal,1.048728383
19940630,1.000000024,Optimal,0.559157716,Optimal,1.78840423
19931231,0.601669316,Optimal,0.578849994,Optimal,1.039421823
19921231,0.732260238,Optimal,0.689581462,Optimal,1.061890841
19911231,0.707783513,Optimal,0.674523362,Optimal,1.049309117
