,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0,Optimal,1.000000005,Optimal,0
20201231,0,Optimal,0.196669169,Optimal,0
20200930,0,Optimal,1.000000007,Optimal,0
20200630,0,Optimal,1.053726535,Optimal,0
20200331,0,Optimal,0.999999993,Optimal,0
20191231,0,Optimal,0.209935254,Optimal,0
20190930,0,Optimal,1.018886696,Optimal,0
20190630,0,Optimal,0.994941498,Optimal,0
20190331,0,Optimal,0.958421302,Optimal,0
20181231,0,Optimal,0.206271219,Optimal,0
20180930,0,Optimal,0.960001126,Optimal,0
20180630,0,Optimal,0.888784854,Optimal,0
20180331,0,Optimal,0.8757046,Optimal,0
20171231,0,Optimal,0.187763185,Optimal,0
20170930,0,Optimal,0.836877623,Optimal,0
20170630,0,Optimal,0.899119082,Optimal,0
20170331,0,Optimal,0.748749066,Optimal,0
20161231,0,Optimal,0.168069028,Optimal,0
20160930,0,Optimal,0.831758125,Optimal,0
20160630,0,Optimal,0.81583305,Optimal,0
20160331,0,Optimal,0.895110987,Optimal,0
20151231,0,Optimal,0.169403363,Optimal,0
20150930,0,Optimal,0.867013499,Optimal,0
20150630,0,Optimal,0.999999994,Optimal,0
20150331,0,Optimal,0.962964157,Optimal,0
20141231,0,Optimal,0.222703122,Optimal,0
20140930,0,Optimal,0.999999992,Optimal,0
20140630,0,Optimal,0.912557081,Optimal,0
20140331,0,Optimal,0.968930225,Optimal,0
20131231,0,Optimal,0.192286751,Optimal,0
20130930,0,Optimal,1.043841522,Optimal,0
20130630,0,Optimal,1.117903357,Optimal,0
20130331,0,Optimal,1.155388121,Optimal,0
20121231,0,Optimal,0.225786993,Optimal,0
20120930,0,Optimal,1,Optimal,0
20120630,0,Optimal,1.000000003,Optimal,0
20120331,0,Optimal,0.999999988,Optimal,0
20111231,0,Optimal,0.239424464,Optimal,0
20110930,0,Optimal,0.82486825,Optimal,0
20110630,0,Optimal,0.857598893,Optimal,0
20110331,0,Optimal,0.999999985,Optimal,0
20101231,0,Optimal,0.208438996,Optimal,0
20100930,0,Optimal,0.778121686,Optimal,0
20100630,0,Optimal,0.746708653,Optimal,0
20100331,0,Optimal,0.770003846,Optimal,0
20091231,0,Optimal,0.179433232,Optimal,0
20090930,0,Optimal,0.999999954,Optimal,0
20090630,0,Optimal,0.832118103,Optimal,0
20090331,0,Optimal,0.945557659,Optimal,0
20081231,0,Optimal,0.201298592,Optimal,0
20080930,0,Optimal,0.928515267,Optimal,0
20080630,0,Optimal,1.000000005,Optimal,0
20080331,0,Optimal,0.859636958,Optimal,0
20071231,0,Optimal,0.205857654,Optimal,0
20070930,0,Optimal,0.956365557,Optimal,0
20070630,0,Optimal,0.600969181,Optimal,0
20070331,0,Optimal,0.492264295,Optimal,0
20061231,0,Optimal,0.144922722,Optimal,0
20060930,0,Optimal,0.702229312,Optimal,0
20060630,0,Optimal,0.505083853,Optimal,0
20060331,0,Optimal,0.358879636,Optimal,0
20051231,0,Optimal,0.128633023,Optimal,0
20050930,0,Optimal,1.103550409,Optimal,0
20050630,0,Optimal,0.435099787,Optimal,0
20050331,0,Optimal,0.321509557,Optimal,0
20041231,0,Optimal,0.116598714,Optimal,0
20040930,0,Optimal,0.636221956,Optimal,0
20040630,0,Optimal,0.42584711,Optimal,0
20040331,0,Optimal,0.276990747,Optimal,0
20031231,0,Optimal,0.070340313,Optimal,0
20030930,0,Optimal,0.596797646,Optimal,0
20030630,0,Optimal,0.347943564,Optimal,0
20030331,0,Optimal,0.180847018,Optimal,0
20021231,0,Optimal,0.055757488,Optimal,0
20020930,0,Optimal,0.49087107,Optimal,0
20020630,0,Optimal,0.321287898,Optimal,0
20020331,0,Optimal,0.165358657,Optimal,0
20011231,0,Optimal,0.054122713,Optimal,0
20010630,0,Optimal,1.225571592,Optimal,0
20001231,0,Optimal,0.263031318,Optimal,0
19991231,0,Optimal,0.7983061,Optimal,0
19981231,0,Optimal,0.532410479,Optimal,0
,,,,,
,,,,,
