,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0.594826369,Optimal,0.867410964,Optimal,0.685749193
20201231,1.502518242,Optimal,0.999999998,Optimal,1.502518244
20200930,1.658543684,Optimal,0.848177893,Optimal,1.955419608
20200630,1.443317881,Optimal,0.730388728,Optimal,1.976095502
20200331,0.485349804,Optimal,0.42413861,Optimal,1.144318843
20191231,1.040559209,Optimal,0.847409792,Optimal,1.227929177
20190930,1.023702003,Optimal,0.753450507,Optimal,1.358685133
20190630,1.163236062,Optimal,0.704672032,Optimal,1.650748163
20190331,0.464562435,Optimal,0.428096434,Optimal,1.085181745
20181231,0.990176429,Optimal,0.771289276,Optimal,1.28379385
20180930,1.06682198,Optimal,0.773860154,Optimal,1.37857205
20180630,1.125831294,Optimal,0.646413057,Optimal,1.741659272
20180331,0.438271131,Optimal,0.406965279,Optimal,1.076925118
20171231,0.976574681,Optimal,0.748690321,Optimal,1.304377328
20170930,0.98767729,Optimal,0.681482135,Optimal,1.449307677
20170630,0.643689298,Optimal,0.57046025,Optimal,1.128368362
20170331,0.370631369,Optimal,0.346137181,Optimal,1.070764395
20161231,0.905341799,Optimal,0.650614374,Optimal,1.391518287
20160930,0.90270374,Optimal,0.592028885,Optimal,1.524763003
20160630,0.470644522,Optimal,0.425719974,Optimal,1.105526052
20160331,0.315213962,Optimal,0.296330011,Optimal,1.063726086
20151231,2.816190653,Optimal,0.610905923,Optimal,4.609859791
20150930,0.893860112,Optimal,0.560105641,Optimal,1.595877717
20150630,0.55379661,Optimal,0.493878296,Optimal,1.121322022
20150331,0.33383493,Optimal,0.310593788,Optimal,1.074828097
20141231,0.692398771,Optimal,0.421543432,Optimal,1.64253246
20140930,0.719410079,Optimal,0.412118351,Optimal,1.745639517
20140630,0.720548614,Optimal,0.353585757,Optimal,2.037832689
20140331,0.456699357,Optimal,0.226087178,Optimal,2.020014406
20131231,0.815675642,Optimal,0.684621867,Optimal,1.19142505
20130930,0.788159382,Optimal,0.635778469,Optimal,1.239676115
20130630,0.827907217,Optimal,0.596981325,Optimal,1.38682264
20130331,0.372605338,Optimal,0.342973187,Optimal,1.086397863
