,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0,Optimal,0,Optimal,0
20201231,0,Optimal,0.999999987,Optimal,0
20200930,0,Optimal,0.999999984,Optimal,0
20200630,0,Optimal,0.99999988,Optimal,0
20200331,0,Optimal,0,Optimal,0
20191231,0,Optimal,1.000000009,Optimal,0
20190930,0,Optimal,0.946270607,Optimal,0
20190630,0,Optimal,0.28255272,Optimal,0
20190331,0,Optimal,0,Optimal,0
20181231,0,Optimal,1.088937339,Optimal,0
20180930,0,Optimal,0.59363728,Optimal,0
20180630,0,Optimal,0,Optimal,0
20180331,0,Optimal,0,Optimal,0
20171231,0,Optimal,0.999999897,Optimal,0
20170930,0,Optimal,0.113441743,Optimal,0
20170630,0,Optimal,0,Optimal,0
20170331,0,Optimal,0,Optimal,0
20161231,0,Optimal,0.727994986,Optimal,0
20160930,0,Optimal,0,Optimal,0
20160630,0,Optimal,0,Optimal,0
20160331,0,Optimal,0,Optimal,0
20151231,0,Optimal,0.29860253,Optimal,0
20150930,0,Optimal,0,Optimal,0
20150630,0,Optimal,0,Optimal,0
20150331,0,Optimal,0,Optimal,0
20141231,0,Optimal,0.328475624,Optimal,0
20140930,0,Optimal,0,Optimal,0
20140630,0,Optimal,0,Optimal,0
20140331,0,Optimal,0,Optimal,0
20131231,0,Optimal,0,Optimal,0
20130930,0,Optimal,0,Optimal,0
20130630,0,Optimal,0,Optimal,0
20130331,0,Optimal,0,Optimal,0
20121231,0,Optimal,0.198096472,Optimal,0
20120930,0,Optimal,0,Optimal,0
20120630,0,Optimal,0,Optimal,0
20120331,0,Optimal,0,Optimal,0
20111231,0,Optimal,0.380837979,Optimal,0
20110930,0,Optimal,0,Optimal,0
20110630,0,Optimal,0,Optimal,0
20110331,0,Optimal,0,Optimal,0
20101231,0,Optimal,0,Optimal,0
20100930,0,Optimal,0,Optimal,0
20100630,0,Optimal,0,Optimal,0
20100331,0,Optimal,0,Optimal,0
20091231,0,Optimal,0,Optimal,0
20090930,0,Optimal,0,Optimal,0
20081231,0,Optimal,0,Optimal,0
20071231,0,Optimal,0,Optimal,0
20061231,0,Optimal,0.999999895,Optimal,0
20090630,0,Optimal,1.00E-12,Optimal,0
